check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
paired_post_selection_dml_cr_length_denominator,cr_length_denominator,results/validation/r500_phase2/paired_estimator_summary.csv,71917,71917,0,1e-12,passed
warning_oracle,warning_frequency,results/validation/r500_phase2/warning_summary.csv,0.700125,0.700125,0,1e-12,passed
warning_events_oracle,warning_event_count,results/validation/r500_phase2/warning_summary.csv,93657,93657.0,0,0,passed
warning_post_selection,warning_frequency,results/validation/r500_phase2/warning_summary.csv,0.8985694444,0.8985694444,0,1e-12,passed
warning_events_post_selection,warning_event_count,results/validation/r500_phase2/warning_summary.csv,237048,237048.0,0,0,passed
exceptions_oracle,validated_exception_count,results/validation/r500_phase2/exception_rows.csv,13,13,0,0,passed
exceptions_post_selection,validated_exception_count,results/validation/r500_phase2/exception_rows.csv,43,43,0,0,passed
exceptions_dml,validated_exception_count,results/validation/r500_phase2/exception_rows.csv,43,43,0,0,passed
historical_multiplier,selection_lasso_multiplier,results/validation/r500_audit/estimator_summary.csv,1:72000,1:72000,0,0,passed
dml_unavailable_warning_row_frequency,warning_row_frequency,results/validation/r500_phase2/exception_rows.csv,NA,NA,0,0,passed
dml_unavailable_empty_confidence_regions,empty_confidence_regions,results/validation/r500_phase2/exception_rows.csv,NA,NA,0,0,passed
dml_unavailable_unresolved_rows,unresolved_rows,results/validation/r500_phase2/exception_rows.csv,NA,NA,0,0,passed
weak_oracle_1_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.91,0.91,0,1e-12,passed
weak_oracle_1_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_oracle_1_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.04,-0.04,0,1e-12,passed
weak_oracle_1_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.141853905,1.141853905,0,1e-12,passed
weak_oracle_1_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,3.369210331,3.369210331,0,1e-12,passed
weak_oracle_1_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8816900084,0.8816900084,0,1e-12,passed
