dgp,n,p,pi,tau,rep,seed,result_schema_version,estimator,alpha_hat,alpha_true,cr_lower,cr_upper,cr_length,covered,converged,cr_components,cr_n_blocks,cr_disconnected,cr_status,cr_is_numerically_resolved,cr_unresolved_count,cr_unresolved_alphas,grid_strategy,adaptive_midpoint_probe,alpha_hat_grid,midpoint_intervals_considered,midpoint_evaluations_added,midpoint_unresolved_barriers,midpoint_probe_limit_hit,initial_alpha_grid_size,final_alpha_evaluations,refinement_tolerance,refinement_depth_reached,refinement_limit_hit,max_alpha_evaluations_hit,number_of_refined_intervals,number_of_unresolved_refinement_barriers,minimum_final_grid_spacing,median_final_grid_spacing,maximum_final_grid_spacing,iteration_warning_evaluations,rank_deficient_covariance_failures
dgp1,500,200,1.0,0.25,213,5034549794057543889,4,oracle,0.40000000000000013,0.3255102498039183,-0.16980716761198653,1.177058471966072,1.3468656395780585,True,True,"[[-0.16980716761198653,1.177058471966072]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,214,8553404663795886477,4,oracle,0.40000000000000013,0.3255102498039183,-1.0,1.2763613373105742,2.276361337310574,True,True,"[[-1.0,1.2763613373105742]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,43,0.025,2,False,False,2,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,215,1397540481006034472,4,oracle,0.20000000000000018,0.3255102498039183,-0.46666448097590124,0.7766975673696626,1.2433620483455639,True,True,"[[-0.46666448097590124,0.7766975673696626]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.024999999999999967,0.09999999999999998,0.10000000000000009,2,0
dgp1,500,200,1.0,0.25,216,3113967141828686769,4,oracle,0.40000000000000013,0.3255102498039183,-0.2368090736704342,0.9900967684389326,1.2269058421093668,True,True,"[[-0.2368090736704342,0.9900967684389326]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.024999999999999994,0.09999999999999998,0.10000000000000009,2,0
dgp1,500,200,1.0,0.25,217,1812919868375172268,4,oracle,-0.19999999999999996,0.3255102498039183,-0.9607717693879685,0.504917595585649,1.4656893649736173,True,True,"[[-0.9607717693879685,0.504917595585649]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,218,6107030378366958428,4,oracle,0.20000000000000018,0.3255102498039183,-0.3887228251624824,1.0492684859430332,1.4379913111055156,True,True,"[[-0.3887228251624824,1.0492684859430332]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,219,8665127004198320589,4,oracle,0.8,0.3255102498039183,-0.08631541979529203,1.5631780020154344,1.6494934218107264,True,True,"[[-0.08631541979529203,1.5631780020154344]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,220,5646330686278890896,4,oracle,0.8,0.3255102498039183,0.12559483821033984,1.4546053974681372,1.3290105592577974,True,True,"[[0.12559483821033984,1.4546053974681372]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,221,4296905831652227029,4,oracle,0.8,0.3255102498039183,-0.5344650075203803,1.4781912036997258,2.012656211220106,True,True,"[[-0.5344650075203803,1.4781912036997258]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,222,6965753562644330206,4,oracle,0.8,0.3255102498039183,0.19615838881356967,1.3785888561632411,1.1824304673496715,True,True,"[[0.19615838881356967,1.3785888561632411]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,2,0
dgp1,500,200,1.0,0.25,223,3685944638570582932,4,oracle,-0.19999999999999996,0.3255102498039183,-0.8159682507648652,0.7486575212396711,1.5646257720045362,True,True,"[[-0.8159682507648652,0.7486575212396711]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,224,8369113750001253093,4,oracle,0.6000000000000001,0.3255102498039183,-0.10089105767984297,1.0387657336539744,1.1396567913338174,True,True,"[[-0.10089105767984297,1.0387657336539744]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,225,3042389467215258163,4,oracle,1.0,0.3255102498039183,0.32378911436323055,1.9525359775802231,1.6287468632169926,True,True,"[[0.32378911436323055,1.9525359775802231]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,226,3840829443062471057,4,oracle,0.20000000000000018,0.3255102498039183,-0.36513804454888166,0.9257936392546481,1.2909316838035299,True,True,"[[-0.36513804454888166,0.9257936392546481]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,227,8758561171480922884,4,oracle,0.8,0.3255102498039183,-0.019584107700485732,1.6256669898138487,1.6452510975143344,True,True,"[[-0.019584107700485732,1.6256669898138487]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,2,0
dgp1,500,200,1.0,0.25,228,2985510012517247807,4,oracle,0.0,0.3255102498039183,-0.7401414282858794,0.8010413676154859,1.5411827959013653,True,True,"[[-0.7401414282858794,0.8010413676154859]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.025000000000000022,0.09999999999999998,0.10000000000000009,3,0
