dgp,n,p,pi,tau,rep,seed,result_schema_version,estimator,alpha_hat,alpha_true,cr_lower,cr_upper,cr_length,covered,converged,cr_components,cr_n_blocks,cr_disconnected,cr_status,cr_is_numerically_resolved,cr_unresolved_count,cr_unresolved_alphas,grid_strategy,adaptive_midpoint_probe,alpha_hat_grid,midpoint_intervals_considered,midpoint_evaluations_added,midpoint_unresolved_barriers,midpoint_probe_limit_hit,initial_alpha_grid_size,final_alpha_evaluations,refinement_tolerance,refinement_depth_reached,refinement_limit_hit,max_alpha_evaluations_hit,number_of_refined_intervals,number_of_unresolved_refinement_barriers,minimum_final_grid_spacing,median_final_grid_spacing,maximum_final_grid_spacing,iteration_warning_evaluations,rank_deficient_covariance_failures
dgp1,500,200,1.0,0.25,0,6453165824556549201,4,oracle,0.0,0.3255102498039183,-0.6808352929195381,0.686909489481627,1.3677447824011653,True,True,"[[-0.6808352929195381,0.686909489481627]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,1,9214940379343621333,4,oracle,0.20000000000000018,0.3255102498039183,-0.5575715233655552,1.3164437242292386,1.8740152475947938,True,True,"[[-0.5575715233655552,1.3164437242292386]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,2,3154660004538282353,4,oracle,0.20000000000000018,0.3255102498039183,-0.8030039034298273,0.8076641232361126,1.61066802666594,True,True,"[[-0.8030039034298273,0.8076641232361126]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.025000000000000022,0.09999999999999998,0.10000000000000009,1,0
dgp1,500,200,1.0,0.25,3,1717475357442033914,4,oracle,0.0,0.3255102498039183,-1.0,0.7164036416230971,1.716403641623097,True,True,"[[-1.0,0.7164036416230971]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,43,0.025,2,False,False,2,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,2,0
dgp1,500,200,1.0,0.25,4,8676467209849990564,4,oracle,0.6000000000000001,0.3255102498039183,-0.2970466763540608,1.536763040502105,1.833809716856166,True,True,"[[-0.2970466763540608,1.536763040502105]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,5,8448470054762995597,4,oracle,0.20000000000000018,0.3255102498039183,-0.3767541794889935,0.8883694562000907,1.265123635689084,True,True,"[[-0.3767541794889935,0.8883694562000907]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,6,5021447493907674237,4,oracle,0.8,0.3255102498039183,-0.40340185237408943,1.4855133940010643,1.8889152463751537,True,True,"[[-0.40340185237408943,1.4855133940010643]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,7,21741838260193456,4,oracle,0.20000000000000018,0.3255102498039183,-0.6769272901851415,1.1143929782828066,1.7913202684679481,True,True,"[[-0.6769272901851415,1.1143929782828066]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,0,0
dgp1,500,200,1.0,0.25,8,4118864315573949973,4,oracle,0.0,0.3255102498039183,-0.7634104629305135,0.8167017353435638,1.5801121982740773,True,True,"[[-0.7634104629305135,0.8167017353435638]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.025000000000000022,0.09999999999999998,0.10000000000000009,3,0
dgp1,500,200,1.0,0.25,9,4913464245341002973,4,oracle,0.6000000000000001,0.3255102498039183,-0.4785389828502297,1.3594287156744267,1.8379676985246565,True,True,"[[-0.4785389828502297,1.3594287156744267]]",1,False,valid,True,0,[],adaptive,True,initial,20,20,0,False,21,45,0.025,2,False,False,4,0,0.02499999999999991,0.09999999999999998,0.10000000000000009,1,0
