dgp,n,p,pi,tau,estimator,estimator_label,bias,median_bias,rmse,mae,coverage,avg_cr_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,mean_runtime_seconds
dgp1,500,500,0.1,0.25,post_selection_ivqr,Post-selection IVQR,0.7245,0.6745,1.1169,0.9547,0.9,3.6298,0.0,0.0,0.0,0.1,10.134
dgp1,500,500,0.1,0.25,dml_ivqr,DML-IVQR,1.2745,1.1745,1.6323,1.4396,0.8,3.6206,0.0,0.0,0.0,0.3,34.9353
dgp1,500,500,0.1,0.5,oracle,Oracle IVQR,1.35,1.5,1.5411,1.45,0.2,2.3557,0.0,0.0,0.0,0.8,0.7178
dgp1,500,500,0.1,0.5,post_selection_ivqr,Post-selection IVQR,0.45,0.75,1.1068,0.95,0.7,3.0715,0.0,0.0,0.0,0.4,11.7671
dgp1,500,500,0.1,0.5,dml_ivqr,DML-IVQR,0.4,0.75,1.0488,0.9,0.7,3.0146,0.0,0.0,0.0,0.6,44.613
dgp1,500,500,0.1,0.75,oracle,Oracle IVQR,-1.1745,-1.1745,1.6521,1.4396,0.0,2.4687,0.0,0.0,0.0,0.5,0.577
dgp1,500,500,0.1,0.75,post_selection_ivqr,Post-selection IVQR,-0.8745,-0.6745,1.5082,1.2047,0.8,3.279,0.0,0.0,0.0,0.3,10.7229
dgp1,500,500,0.1,0.75,dml_ivqr,DML-IVQR,-0.3745,-0.1745,1.162,1.0,0.8,3.6674,0.0,0.0,0.0,0.2,35.7858
dgp1,500,500,0.25,0.25,oracle,Oracle IVQR,1.1745,0.9245,1.5425,1.3396,0.0,2.0871,0.0,0.0,0.0,0.7,0.3723
dgp1,500,500,0.25,0.25,post_selection_ivqr,Post-selection IVQR,0.2745,0.4245,0.6445,0.5698,0.9,2.2678,0.0,0.0,0.0,0.2,9.4727
dgp1,500,500,0.25,0.25,dml_ivqr,DML-IVQR,0.6245,0.6745,1.3463,1.1547,1.0,2.2948,0.0,0.0,0.0,0.3,34.3639
dgp1,500,500,0.25,0.5,oracle,Oracle IVQR,-0.25,-0.5,0.7583,0.65,0.4,1.2235,0.0,0.0,0.0,0.4,0.4291
dgp1,500,500,0.25,0.5,post_selection_ivqr,Post-selection IVQR,0.05,0.0,0.5701,0.25,0.9,1.6571,0.0,0.0,0.0,0.2,13.2859
dgp1,500,500,0.25,0.5,dml_ivqr,DML-IVQR,-0.1,0.0,0.8944,0.7,0.7,2.3453,0.0,0.0,0.0,0.2,42.667
dgp1,500,500,0.25,0.75,oracle,Oracle IVQR,-0.6245,-0.6745,0.75,0.6245,0.0,2.2521,0.0,0.0,0.0,0.4,0.4191
dgp1,500,500,0.25,0.75,post_selection_ivqr,Post-selection IVQR,-0.4745,-0.4245,0.7649,0.6047,0.8,2.3346,0.0,0.0,0.0,0.1,13.451
dgp1,500,500,0.25,0.75,dml_ivqr,DML-IVQR,-0.5745,-0.6745,1.0583,0.8698,1.0,3.0119,0.0,0.0,0.0,0.3,37.1627
dgp1,500,500,0.5,0.25,oracle,Oracle IVQR,0.9245,0.6745,1.033,0.9245,0.0,0.6422,0.0,0.0,0.0,0.2,0.5158
dgp1,500,500,0.5,0.25,post_selection_ivqr,Post-selection IVQR,0.2245,0.1745,0.3506,0.2896,0.5,0.8369,0.0,0.0,0.0,0.0,11.6894
dgp1,500,500,0.5,0.25,dml_ivqr,DML-IVQR,0.6245,0.6745,0.7159,0.6245,0.5,1.7864,0.0,0.0,0.0,0.1,34.4525
dgp1,500,500,0.5,0.5,oracle,Oracle IVQR,0.05,0.0,0.6124,0.45,0.4,0.7744,0.0,0.0,0.0,0.1,0.86
dgp1,500,500,0.5,0.5,post_selection_ivqr,Post-selection IVQR,0.15,0.0,0.3536,0.25,0.8,0.6835,0.0,0.0,0.0,0.0,11.0694
dgp1,500,500,0.5,0.5,dml_ivqr,DML-IVQR,0.25,0.25,0.3536,0.25,0.8,0.932,0.0,0.0,0.0,0.0,43.8745
dgp1,500,500,0.5,0.75,oracle,Oracle IVQR,-0.1745,-0.1745,0.1745,0.1745,0.1,0.7798,0.0,0.0,0.0,0.1,0.633
dgp1,500,500,0.5,0.75,post_selection_ivqr,Post-selection IVQR,-0.2245,-0.1745,0.4158,0.3547,0.8,1.8006,0.0,0.0,0.0,0.1,10.5564
dgp1,500,500,0.5,0.75,dml_ivqr,DML-IVQR,-0.4745,-0.1745,1.0174,0.7047,0.7,1.7305,0.0,0.0,0.0,0.1,36.1454
dgp1,500,500,1.0,0.25,oracle,Oracle IVQR,0.5245,0.6745,0.6145,0.5896,0.0,0.3791,0.0,0.0,0.0,0.1,0.4823
dgp1,500,500,1.0,0.25,post_selection_ivqr,Post-selection IVQR,0.1745,0.1745,0.1745,0.1745,0.3,0.2589,0.0,0.0,0.0,0.0,11.5141
dgp1,500,500,1.0,0.25,dml_ivqr,DML-IVQR,0.4245,0.4245,0.4926,0.4245,0.1,0.5999,0.0,0.0,0.0,0.0,35.0085
dgp1,500,500,1.0,0.5,oracle,Oracle IVQR,0.0,0.0,0.2236,0.1,0.9,0.3536,0.0,0.0,0.0,0.0,0.4621
dgp1,500,500,1.0,0.5,post_selection_ivqr,Post-selection IVQR,0.0,0.0,0.0,0.0,1.0,0.3137,0.0,0.0,0.0,0.0,14.0769
dgp1,500,500,1.0,0.5,dml_ivqr,DML-IVQR,0.15,0.0,0.3536,0.25,0.8,0.6156,0.0,0.0,0.0,0.0,44.7037
dgp1,500,500,1.0,0.75,oracle,Oracle IVQR,-0.1745,-0.1745,0.1745,0.1745,0.0,0.3588,0.0,0.0,0.0,0.0,0.6185
dgp1,500,500,1.0,0.75,post_selection_ivqr,Post-selection IVQR,-0.0745,-0.1745,0.2134,0.2047,0.7,0.6037,0.0,0.0,0.0,0.0,11.2379
dgp1,500,500,1.0,0.75,dml_ivqr,DML-IVQR,-0.4245,-0.4245,0.4926,0.4245,0.4,0.9654,0.0,0.0,0.0,0.0,35.1611
dgp1,1000,200,0.5,0.25,oracle,Oracle IVQR,0.6745,0.6745,0.6745,0.6745,0.0,0.3149,0.0,0.0,0.0,0.0,0.5779
dgp1,1000,200,0.5,0.25,post_selection_ivqr,Post-selection IVQR,0.5245,0.6745,0.6539,0.5896,0.0,0.2766,0.0,0.0,0.0,0.1,8.5076
dgp1,1000,200,0.5,0.25,dml_ivqr,DML-IVQR,0.2745,0.1745,0.3396,0.2745,0.8,0.8055,0.0,0.0,0.0,0.0,23.128
dgp1,1000,200,1.0,0.25,oracle,Oracle IVQR,0.6745,0.6745,0.6745,0.6745,0.0,0.1379,0.0,0.0,0.0,0.0,0.4176
dgp1,1000,200,1.0,0.25,post_selection_ivqr,Post-selection IVQR,0.3745,0.1745,0.4475,0.3745,0.0,0.2009,0.0,0.0,0.0,0.0,9.1102
dgp1,1000,200,1.0,0.25,dml_ivqr,DML-IVQR,0.2245,0.1745,0.27,0.2245,0.1,0.3884,0.0,0.0,0.0,0.0,23.3661
dgp1,1000,200,1.0,0.5,oracle,Oracle IVQR,0.05,0.0,0.2739,0.15,0.8,0.2135,0.0,0.0,0.0,0.0,0.6864
dgp1,1000,200,1.0,0.5,post_selection_ivqr,Post-selection IVQR,0.1,0.0,0.2236,0.1,1.0,0.2315,0.0,0.0,0.0,0.0,8.573
dgp1,1000,200,1.0,0.5,dml_ivqr,DML-IVQR,0.0,0.0,0.0,0.0,1.0,0.2618,0.0,0.0,0.0,0.0,40.8257
dgp1,1000,200,1.0,0.75,oracle,Oracle IVQR,-0.1745,-0.1745,0.1745,0.1745,0.0,0.1758,0.0,0.0,0.0,0.0,0.5062
dgp1,1000,200,1.0,0.75,post_selection_ivqr,Post-selection IVQR,-0.1745,-0.1745,0.1745,0.1745,0.0,0.1679,0.0,0.0,0.0,0.0,9.4811
dgp1,1000,200,1.0,0.75,dml_ivqr,DML-IVQR,-0.1245,-0.1745,0.1949,0.1896,0.4,0.3216,0.0,0.0,0.0,0.0,22.507
