estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp3,500,200,0.25,0.75,500,500,0,1,-0.2448892088,-0.1628892088,0.8612249094,1.081354116,1.054314544,0.948,0.009929350432,0.9285384732,0.9674615268,3.619058883,4,0.572,,,0,0.08,,,,,,,,,
DML-IVQR,dgp3,500,200,0.5,0.25,500,500,0,1,-0.01951079121,-0.03711079121,0.6845110791,0.8320041532,0.8326083794,0.95,0.009746794345,0.9308962831,0.9691037169,2.905372584,2.976855418,0.1,,,0,0.048,,,,,,,,,
DML-IVQR,dgp3,500,200,0.5,0.5,500,500,0,1,-0.0332,0,0.5004,0.6510913914,0.6508956062,0.932,0.01125841907,0.9099334986,0.9540665014,2.529319704,2.453406591,0.026,,,0,0.006,,,,,,,,,
DML-IVQR,dgp3,500,200,0.5,0.75,500,500,0,1,-0.07368920879,0.03711079121,0.6020079655,0.8008704386,0.7982717806,0.962,0.008550555538,0.9452409111,0.9787590889,2.993564318,3.060337762,0.162,,,0,0.032,,,,,,,,,
DML-IVQR,dgp3,500,200,1,0.25,500,500,0,1,-0.06031079121,-0.03711079121,0.4491048518,0.5607665749,0.5580722617,0.952,0.009559916318,0.933262564,0.970737436,2.106033724,2.061697445,0,,,0,0.022,,,,,,,,,
DML-IVQR,dgp3,500,200,1,0.5,500,500,0,1,0.0048,0,0.332,0.4343270657,0.4347354942,0.932,0.01125841907,0.9099334986,0.9540665014,1.609495934,1.583774188,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,500,200,1,0.75,500,500,0,1,-0.04968920879,0.03711079121,0.3732328748,0.4857723515,0.4837082875,0.948,0.009929350432,0.9285384732,0.9674615268,1.926412074,1.839394932,0.006,,,0,0.002,,,,,,,,,
DML-IVQR,dgp3,500,500,0.1,0.25,500,498,2,1,0.5556892088,0.5628892088,1.166977842,1.387464831,1.272598591,0.9477911647,0.009968129218,0.9282536314,0.9673286979,3.771501153,4,0.718,,,0.004,0.136,,,,,,,,,
DML-IVQR,dgp3,500,500,0.1,0.5,500,500,0,1,0.0792,0.2,1.1112,1.274048665,1.272858081,0.952,0.009559916318,0.933262564,0.970737436,3.762164106,4,0.708,,,0,0.136,,,,,,,,,
DML-IVQR,dgp3,500,500,0.1,0.75,500,500,0,1,-0.1900892088,0.03711079121,1.051735988,1.261504684,1.248349676,0.96,0.00876356092,0.9428234206,0.9771765794,3.788451163,4,0.762,,,0,0.176,,,,,,,,,
DML-IVQR,dgp3,500,500,0.25,0.25,500,500,0,1,0.2080892088,0.1628892088,1.010412455,1.202355222,1.185397526,0.96,0.00876356092,0.9428234206,0.9771765794,3.578735906,4,0.512,,,0,0.136,,,,,,,,,
DML-IVQR,dgp3,500,500,0.25,0.5,500,500,0,1,-0.0488,0,0.8848,1.074802307,1.074769193,0.948,0.009929350432,0.9285384732,0.9674615268,3.48752777,3.80931871,0.422,,,0,0.086,,,,,,,,,
DML-IVQR,dgp3,500,500,0.25,0.75,500,499,1,1,-0.1880892088,0.03711079121,0.9824453295,1.182515332,1.168630118,0.9579158317,0.008988201029,0.9402989576,0.9755327057,3.635330823,4,0.602,,,0.002,0.118,,,,,,,,,
DML-IVQR,dgp3,500,500,0.5,0.25,500,499,1,1,0.02448920879,-0.03711079121,0.7337235338,0.9018232429,0.9023935218,0.9579158317,0.008988201029,0.9402989576,0.9755327057,3.060700544,3.124476408,0.168,,,0.002,0.066,,,,,,,,,
DML-IVQR,dgp3,500,500,0.5,0.5,500,500,0,1,-0.0216,0,0.6192,0.7872991807,0.7877910061,0.938,0.01078480412,0.9168617839,0.9591382161,2.834303976,2.83072969,0.08,,,0,0.014,,,,,,,,,
DML-IVQR,dgp3,500,500,0.5,0.75,500,500,0,1,-0.09048920879,0.03711079121,0.7064204201,0.9193837811,0.9158360942,0.948,0.009929350432,0.9285384732,0.9674615268,3.095998733,3.233781502,0.202,,,0,0.064,,,,,,,,,
DML-IVQR,dgp3,500,500,1,0.25,500,500,0,1,-0.03151079121,-0.03711079121,0.4871173065,0.6167021728,0.6165134367,0.952,0.009559916318,0.933262564,0.970737436,2.335200264,2.279141809,0.012,,,0,0.016,,,,,,,,,
DML-IVQR,dgp3,500,500,1,0.5,500,500,0,1,-0.036,0,0.3712,0.4697233228,0.468810801,0.946,0.01010781876,0.9261886752,0.9658113248,1.878559982,1.801452502,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,500,500,1,0.75,500,500,0,1,-0.05568920879,0.03711079121,0.4504657496,0.5912101555,0.589170947,0.948,0.009929350432,0.9285384732,0.9674615268,2.201877023,2.118686449,0.006,,,0,0.016,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.1,0.25,500,499,1,1,0.3936892088,0.3628892088,1.101546705,1.316435548,1.257447298,0.9478957916,0.009948702082,0.9283963355,0.9673952477,3.656313315,4,0.598,,,0.002,0.148,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.1,0.5,500,500,0,1,0.0336,0.2,0.996,1.169136433,1.169823925,0.952,0.009559916318,0.933262564,0.970737436,3.608848841,4,0.536,,,0,0.106,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.1,0.75,500,499,1,1,-0.2380892088,0.03711079121,1.008948443,1.226373284,1.20424473,0.9498997996,0.009765811938,0.9307588082,0.969040791,3.694305281,4,0.67,,,0.002,0.152,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.25,0.25,500,500,0,1,-0.06391079121,-0.03711079121,0.7153110791,0.8699921547,0.8685104379,0.958,0.008970618708,0.9404175873,0.9755824127,2.891240828,2.880748187,0.092,,,0,0.092,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.25,0.5,500,500,0,1,-0.064,0,0.508,0.6431174076,0.6405658821,0.942,0.01045332483,0.9215114833,0.9624885167,2.627744496,2.575256139,0.04,,,0,0.004,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.25,0.75,500,500,0,1,-0.1084892088,0.03711079121,0.6314968863,0.8315831579,0.8253016938,0.934,0.01110351296,0.9122371146,0.9557628854,2.975301299,3.07442093,0.156,,,0,0.044,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.5,0.25,500,500,0,1,-0.04431079121,-0.03711079121,0.3655252719,0.4654370056,0.4637869734,0.964,0.00833114638,0.9476709531,0.9803290469,1.952188039,1.928630278,0,,,0,0.006,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.5,0.5,500,500,0,1,-0.0228,0,0.2492,0.3258220373,0.3253488339,0.944,0.01028241217,0.9238464722,0.9641535278,1.385487115,1.336991979,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,200,0.5,0.75,500,500,0,1,-0.05048920879,0.03711079121,0.3222141928,0.4161675146,0.4135072145,0.95,0.009746794345,0.9308962831,0.9691037169,1.689867707,1.581545445,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,200,1,0.25,500,500,0,1,-0.02871079121,-0.03711079121,0.2501892834,0.3175433034,0.3165594095,0.952,0.009559916318,0.933262564,0.970737436,1.189769196,1.171840618,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,200,1,0.5,500,500,0,1,-0.0108,0,0.1724,0.2323790008,0.2323603725,0.94,0.01062073444,0.9191833605,0.9608166395,0.8407449899,0.8283568126,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,200,1,0.75,500,500,0,1,-0.03728920879,0.03711079121,0.1964204201,0.2472551821,0.2446719615,0.938,0.01078480412,0.9168617839,0.9591382161,0.9520181394,0.9310787357,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.1,0.25,500,499,1,1,0.5184892088,0.5628892088,1.211377842,1.403046578,1.305034432,0.9599198397,0.008780756545,0.9427095569,0.9771301225,3.762282174,4,0.728,,,0.002,0.144,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.1,0.5,500,499,1,1,0.078,0.2,1.0876,1.258284547,1.257122394,0.9478957916,0.009948702082,0.9283963355,0.9673952477,3.703391143,4,0.676,,,0.002,0.14,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.1,0.75,500,500,0,1,-0.2056892088,0.03711079121,1.048490659,1.249478375,1.233666091,0.966,0.008104813385,0.9501145658,0.9818854342,3.748672431,4,0.728,,,0,0.154,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.25,0.25,500,500,0,1,0.2180892088,0.1628892088,0.9695671252,1.163389816,1.14390997,0.938,0.01078480412,0.9168617839,0.9591382161,3.470742083,3.862436446,0.436,,,0,0.13,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.25,0.5,500,500,0,1,-0.0156,0,0.794,0.9744331686,0.9752840602,0.962,0.008550555538,0.9452409111,0.9787590889,3.319766044,3.467161675,0.308,,,0,0.038,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.25,0.75,500,499,1,1,-0.1832892088,0.03711079121,0.9577937727,1.159783934,1.146356011,0.9418837675,0.01047362715,0.9213554583,0.9624120768,3.500088362,4,0.51,,,0.002,0.124,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.5,0.25,500,500,0,1,-0.05071079121,-0.03711079121,0.648362636,0.7892189964,0.7883768872,0.938,0.01078480412,0.9168617839,0.9591382161,2.709021222,2.687552003,0.058,,,0,0.072,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.5,0.5,500,500,0,1,-0.0248,0,0.4632,0.5954494101,0.5955285623,0.942,0.01045332483,0.9215114833,0.9624885167,2.354811974,2.27747213,0.014,,,0,0.002,,,,,,,,,
DML-IVQR,dgp3,1000,500,0.5,0.75,500,500,0,1,-0.1244892088,0.03711079121,0.5444453295,0.7246123123,0.7145534362,0.958,0.008970618708,0.9404175873,0.9755824127,2.78803699,2.762902647,0.094,,,0,0.014,,,,,,,,,
DML-IVQR,dgp3,1000,500,1,0.25,500,500,0,1,-0.05551079121,-0.03711079121,0.4079830561,0.5125845179,0.5100801933,0.954,0.009368457717,0.9356378229,0.9723621771,1.927034382,1.876575742,0,,,0,0.014,,,,,,,,,
DML-IVQR,dgp3,1000,500,1,0.5,500,500,0,1,-0.0352,0,0.2792,0.3670422319,0.3657163613,0.952,0.009559916318,0.933262564,0.970737436,1.42916438,1.401884938,0,,,0,0,,,,,,,,,
DML-IVQR,dgp3,1000,500,1,0.75,500,500,0,1,-0.02648920879,0.03711079121,0.3037564086,0.3973118651,0.3968248732,0.96,0.00876356092,0.9428234206,0.9771765794,1.682653066,1.598751199,0.002,,,0,0,,,,,,,,,
Oracle IVQR,dgp1,500,200,0.1,0.25,500,500,0,1,0.4872897502,0.4744897502,1.140889786,1.361648802,1.272743459,0.952,0.009559916318,0.933262564,0.970737436,3.678320962,4,0.652,0.006,0.21,0,0.156,0.672,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.1,0.5,500,500,0,1,-0.0392,0,1.0728,1.253411345,1.254052893,0.952,0.009559916318,0.933262564,0.970737436,3.746841248,4,0.674,0,0.19,0,0.152,0.638,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.1,0.75,500,500,0,1,-0.3608897502,-0.0744897502,1.15475918,1.365245931,1.31800201,0.946,0.01010781876,0.9261886752,0.9658113248,3.702922035,4,0.714,0,0.168,0,0.166,0.678,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.25,0.25,500,500,0,1,0.1060897502,0.0744897502,0.822061221,1.018752411,1.014228159,0.95,0.009746794345,0.9308962831,0.9691037169,3.189009541,3.351181561,0.25,0,0.318,0,0.116,0.67,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.25,0.5,500,500,0,1,-0.058,0,0.8244,1.012679614,1.012029846,0.948,0.009929350432,0.9285384732,0.9674615268,3.270038948,3.37855886,0.23,0,0.288,0,0.068,0.632,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.25,0.75,500,500,0,1,-0.1448897502,-0.0744897502,0.82297959,1.028881373,1.01964857,0.926,0.01170675019,0.9030547696,0.9489452304,3.220387613,3.468250172,0.286,0,0.23,0,0.104,0.702,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.5,0.25,500,500,0,1,-0.008310249804,0.0744897502,0.484085713,0.6024061921,0.6029521229,0.94,0.01062073444,0.9191833605,0.9608166395,2.267813836,2.213175013,0.002,0,0.162,0,0.03,0.67,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.5,0.5,500,500,0,1,-0.0056,0,0.4168,0.5323156958,0.5328193248,0.956,0.009172131704,0.9380226219,0.9739773781,2.204201586,2.115040817,0.002,0,0.16,0,0.002,0.678,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.5,0.75,500,500,0,1,-0.0592897502,-0.0744897502,0.519073467,0.6575745087,0.6555520246,0.916,0.01240516022,0.891685886,0.940314114,2.300178147,2.237339517,0.014,0,0.21,0,0.016,0.72,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,1,0.25,500,500,0,1,-0.007510249804,0.0744897502,0.311787754,0.3910657283,0.3913851872,0.938,0.01078480412,0.9168617839,0.9591382161,1.442035935,1.407713978,0,0,0.018,0,0.004,0.642,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,1,0.5,500,500,0,1,0.0332,0,0.2716,0.344441577,0.3431811571,0.948,0.009929350432,0.9285384732,0.9674615268,1.275061029,1.260209674,0,0,0.014,0,0,0.678,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,1,0.75,500,500,0,1,-0.0188897502,-0.0744897502,0.298044893,0.3706014877,0.3704904403,0.928,0.0115599308,0.9053425356,0.9506574644,1.362311291,1.330473547,0,0,0.048,0,0,0.686,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.1,0.25,500,500,0,1,0.5412897502,0.4744897502,1.18089795,1.398103127,1.290359568,0.956,0.009172131704,0.9380226219,0.9739773781,3.7078306,4,0.646,0,0.236,0,0.136,0.638,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.1,0.5,500,500,0,1,0.0968,0.2,1.104,1.275554781,1.273150259,0.948,0.009929350432,0.9285384732,0.9674615268,3.729927566,4,0.682,0,0.174,0,0.158,0.626,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.1,0.75,500,500,0,1,-0.3720897502,-0.2744897502,1.082632647,1.31318126,1.260623887,0.946,0.01010781876,0.9261886752,0.9658113248,3.667790509,4,0.68,0,0.196,0,0.168,0.68,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.25,0.25,500,500,0,1,0.1036897502,0.0744897502,0.843269385,1.020695314,1.016431811,0.942,0.01045332483,0.9215114833,0.9624885167,3.179005215,3.33352186,0.256,0,0.306,0,0.128,0.654,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.25,0.5,500,500,0,1,0.0072,0,0.7552,0.9379125759,0.9388242338,0.958,0.008970618708,0.9404175873,0.9755824127,3.318685897,3.443971855,0.228,0,0.23,0,0.04,0.682,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.25,0.75,500,500,0,1,-0.1744897502,0.0255102498,0.9,1.114758572,1.102120383,0.92,0.01213260071,0.8962201026,0.9437798974,3.255733367,3.590762598,0.338,0,0.264,0,0.134,0.66,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.5,0.25,500,500,0,1,0.009689750196,0.0744897502,0.49715918,0.625375768,0.6259269359,0.948,0.009929350432,0.9285384732,0.9674615268,2.248713711,2.188694307,0.004,0,0.176,0,0.032,0.708,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.5,0.5,500,500,0,1,0.0004,0,0.4116,0.5239083889,0.5244329317,0.962,0.008550555538,0.9452409111,0.9787590889,2.219153162,2.165037289,0.002,0,0.128,0,0.002,0.646,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.5,0.75,500,500,0,1,-0.0452897502,-0.0744897502,0.485261221,0.6189010595,0.6178599046,0.942,0.01045332483,0.9215114833,0.9624885167,2.296815321,2.230982751,0.012,0,0.166,0,0.008,0.666,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,1,0.25,500,500,0,1,-0.0207102498,0.0744897502,0.311387754,0.3857536448,0.3855830762,0.942,0.01045332483,0.9215114833,0.9624885167,1.439821981,1.404962797,0,0,0.038,0,0.002,0.648,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,1,0.5,500,500,0,1,-0.02,0,0.2432,0.3139426699,0.313618739,0.962,0.008550555538,0.9452409111,0.9787590889,1.275804851,1.257227508,0,0,0.014,0,0,0.692,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,1,0.75,500,500,0,1,-0.005289750196,-0.0744897502,0.26395918,0.3305137538,0.3308023888,0.938,0.01078480412,0.9168617839,0.9591382161,1.346795858,1.317702253,0,0,0.038,0,0,0.69,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.1,0.25,500,500,0,1,0.4424897502,0.2744897502,1.041391827,1.274006742,1.19589143,0.954,0.009368457717,0.9356378229,0.9723621771,3.609546592,4,0.562,0,0.248,0,0.116,0.608,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.1,0.5,500,500,0,1,-0.0516,0,1.0396,1.20409302,1.204191677,0.944,0.01028241217,0.9238464722,0.9641535278,3.606040442,4,0.542,0,0.244,0,0.126,0.572,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.1,0.75,500,500,0,1,-0.3848897502,-0.2744897502,1.091934688,1.315245969,1.258928768,0.96,0.00876356092,0.9428234206,0.9771765794,3.6328645,4,0.608,0,0.214,0,0.162,0.606,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.25,0.25,500,500,0,1,0.0120897502,0.0744897502,0.695387754,0.8396739856,0.8404277945,0.95,0.009746794345,0.9308962831,0.9691037169,2.748806955,2.754089602,0.062,0.004,0.26,0,0.08,0.6,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.25,0.5,500,500,0,1,-0.0568,0,0.5568,0.7001714076,0.6985626239,0.962,0.008550555538,0.9452409111,0.9787590889,2.777242176,2.711795175,0.034,0,0.264,0,0.008,0.6,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.25,0.75,500,500,0,1,-0.0704897502,-0.0744897502,0.661097959,0.8440810417,0.8419749662,0.934,0.01110351296,0.9122371146,0.9557628854,2.86845732,2.946390416,0.108,0,0.292,0,0.056,0.634,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.5,0.25,500,500,0,1,0.0112897502,0.0744897502,0.353346934,0.4377821587,0.4380748557,0.938,0.01078480412,0.9168617839,0.9591382161,1.724121534,1.697090714,0,0,0.104,0,0.002,0.574,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.5,0.5,500,500,0,1,-0.0212,0,0.2844,0.3643075624,0.3640544345,0.966,0.008104813385,0.9501145658,0.9818854342,1.510759134,1.473553549,0,0,0.076,0,0,0.596,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,0.5,0.75,500,500,0,1,-0.0152897502,-0.0744897502,0.369583672,0.4600099308,0.4602162078,0.924,0.0118510759,0.9007718912,0.9472281088,1.64304549,1.594915678,0,0,0.088,0,0.004,0.638,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,1,0.25,500,500,0,1,-0.004710249804,0.0744897502,0.223261221,0.2718631024,0.2720945256,0.926,0.01170675019,0.9030547696,0.9489452304,1.010962362,1.003367829,0,0,0.006,0,0,0.596,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,1,0.5,500,500,0,1,0.0008,0,0.1776,0.2393324048,0.2395707584,0.938,0.01078480412,0.9168617839,0.9591382161,0.8852378005,0.8703318883,0,0,0.002,0,0,0.546,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,1,0.75,500,500,0,1,0.0175102498,0.1255102498,0.211608164,0.2589258752,0.2585918395,0.916,0.01240516022,0.891685886,0.940314114,0.944955397,0.9355333591,0,0,0.006,0,0,0.646,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.1,0.25,500,500,0,1,0.3336897502,0.2744897502,1.039542852,1.248296523,1.204074312,0.952,0.009559916318,0.933262564,0.970737436,3.616092793,4,0.584,0,0.228,0,0.134,0.602,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.1,0.5,500,500,0,1,0.1312,0.2,1.0584,1.235928801,1.230176096,0.948,0.009929350432,0.9285384732,0.9674615268,3.614314908,4,0.57,0,0.218,0,0.134,0.592,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.1,0.75,500,500,0,1,-0.3524897502,-0.0744897502,1.048053057,1.276810489,1.228419321,0.944,0.01028241217,0.9238464722,0.9641535278,3.668315007,4,0.652,0.002,0.204,0,0.146,0.636,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.25,0.25,500,500,0,1,0.0208897502,0.0744897502,0.635261221,0.7808478864,0.7813501495,0.952,0.009559916318,0.933262564,0.970737436,2.738936685,2.71668965,0.052,0,0.312,0,0.06,0.662,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.25,0.5,500,500,0,1,-0.052,0,0.5792,0.7432899838,0.7422113954,0.942,0.01045332483,0.9215114833,0.9624885167,2.753007966,2.710197367,0.044,0,0.28,0,0.014,0.6,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.25,0.75,500,500,0,1,-0.0704897502,-0.0744897502,0.639387754,0.8216038004,0.8193941748,0.944,0.01028241217,0.9238464722,0.9641535278,2.881842394,2.952086422,0.086,0,0.276,0,0.038,0.666,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.5,0.25,500,500,0,1,8.975019608e-05,0.0744897502,0.391575508,0.4858648455,0.486351432,0.924,0.0118510759,0.9007718912,0.9472281088,1.69986942,1.69376712,0,0,0.102,0,0.006,0.608,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.5,0.5,500,500,0,1,-0.0072,0,0.3304,0.4151144421,0.4154676724,0.93,0.01141052146,0.9076353779,0.9523646221,1.503159565,1.476392208,0,0,0.052,0,0,0.554,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,0.5,0.75,500,500,0,1,-0.0204897502,-0.0744897502,0.33755918,0.4304228501,0.4303654596,0.938,0.01078480412,0.9168617839,0.9591382161,1.66778548,1.614403019,0,0,0.084,0,0,0.658,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,1,0.25,500,500,0,1,0.004489750196,0.0744897502,0.217730606,0.2736423905,0.2738795721,0.926,0.01170675019,0.9030547696,0.9489452304,1.005629862,0.987995599,0,0,0.008,0,0,0.63,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,1,0.5,500,500,0,1,-0.0004,0,0.1828,0.2421569739,0.242399164,0.93,0.01141052146,0.9076353779,0.9523646221,0.8918351416,0.8883508647,0,0,0.002,0,0,0.546,0,0,0,,,,,
Oracle IVQR,dgp1,1000,500,1,0.75,500,500,0,1,-0.0008897501961,-0.0744897502,0.204436729,0.2501676071,0.2504165668,0.942,0.01045332483,0.9215114833,0.9624885167,0.9409620251,0.9399768216,0,0,0.004,0,0,0.664,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.1,0.25,500,500,0,1,0.4952897502,0.4744897502,1.159510196,1.379187912,1.288474949,0.942,0.01045332483,0.9215114833,0.9624885167,3.663225444,4,0.656,0.002,0.224,0,0.158,0.868,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.1,0.5,500,500,0,1,0.0636,0,1.0812,1.25637574,1.256021584,0.956,0.009172131704,0.9380226219,0.9739773781,3.773641792,4,0.724,0,0.188,0,0.124,0.878,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.1,0.75,500,500,0,1,-0.2968897502,-0.0744897502,1.098885713,1.333192321,1.301016344,0.936,0.01094568408,0.9145464592,0.9574535408,3.619161951,4,0.662,0,0.222,0,0.206,0.874,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.25,0.25,500,500,0,1,0.1124897502,0.0744897502,0.886877549,1.069397,1.064529213,0.938,0.01078480412,0.9168617839,0.9591382161,3.251976901,3.518184953,0.268,0,0.328,0,0.142,0.886,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.25,0.5,500,500,0,1,-0.0648,0,0.8672,1.055499882,1.054563972,0.946,0.01010781876,0.9261886752,0.9658113248,3.351751743,3.51953843,0.29,0,0.27,0,0.078,0.868,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.25,0.75,500,500,0,1,-0.2492897502,-0.0744897502,0.912571426,1.141853905,1.115425169,0.91,0.0127984374,0.8849150627,0.9350849373,3.369210331,3.779688824,0.416,0,0.226,0,0.118,0.888,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.5,0.25,500,500,0,1,0.0272897502,0.0744897502,0.535575508,0.6631718408,0.6632737173,0.952,0.009559916318,0.933262564,0.970737436,2.390178026,2.327288175,0.014,0,0.162,0,0.046,0.844,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.5,0.5,500,500,0,1,-0.004,0,0.4952,0.6477036359,0.6483399489,0.952,0.009559916318,0.933262564,0.970737436,2.407033722,2.371486791,0.008,0,0.166,0,0.006,0.874,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,0.5,0.75,500,500,0,1,-0.1012897502,-0.0744897502,0.571065303,0.7420117071,0.7358019904,0.926,0.01170675019,0.9030547696,0.9489452304,2.523095872,2.4729776,0.03,0,0.192,0,0.024,0.88,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,1,0.25,500,500,0,1,-0.005110249804,0.0744897502,0.341967344,0.4223860256,0.422778101,0.916,0.01240516022,0.891685886,0.940314114,1.488357381,1.477304791,0,0,0.044,0,0.002,0.838,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,1,0.5,500,500,0,1,0.0344,0,0.2904,0.3726660704,0.3714466115,0.932,0.01125841907,0.9099334986,0.9540665014,1.367241819,1.343684516,0,0,0.034,0,0,0.87,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,1,0.75,500,500,0,1,0.0007102498039,-0.0744897502,0.32355918,0.3979264561,0.3983243459,0.92,0.01213260071,0.8962201026,0.9437798974,1.433038109,1.396463685,0,0,0.032,0,0,0.872,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.1,0.25,500,500,0,1,0.5128897502,0.2744897502,1.127824483,1.36392864,1.26508748,0.956,0.009172131704,0.9380226219,0.9739773781,3.688916551,4,0.654,0,0.24,0,0.152,0.862,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.1,0.5,500,500,0,1,0.0496,0,1.1352,1.310083967,1.31045581,0.948,0.009929350432,0.9285384732,0.9674615268,3.726058942,4,0.688,0,0.202,0,0.164,0.884,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.1,0.75,500,500,0,1,-0.4084897502,-0.2744897502,1.149542852,1.374870131,1.314099584,0.926,0.01170675019,0.9030547696,0.9489452304,3.64187126,4,0.652,0.002,0.216,0,0.194,0.864,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.25,0.25,500,500,0,1,0.1108897502,0.0744897502,0.858877549,1.067263593,1.062550265,0.94,0.01062073444,0.9191833605,0.9608166395,3.236485442,3.468570556,0.322,0,0.278,0,0.13,0.868,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.25,0.5,500,500,0,1,-0.0592,0,0.8296,1.012086953,1.011365949,0.954,0.009368457717,0.9356378229,0.9723621771,3.39176894,3.580715379,0.34,0,0.208,0,0.054,0.838,0,0,0,,,,,
