estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp1,1000,200,0.1,0.25,500,500,0,1,0.4620897502,0.2744897502,1.119391827,1.342003419,1.261200815,0.97,0.007628892449,0.9550473708,0.9849526292,3.683554503,4,0.654,,,0,0.15,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.1,0.5,500,500,0,1,-0.0996,-0.2,1.0556,1.215532805,1.212658617,0.952,0.009559916318,0.933262564,0.970737436,3.693389539,4,0.61,,,0,0.102,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.1,0.75,500,500,0,1,-0.2136897502,0.0255102498,0.9928,1.19494212,1.176857403,0.946,0.01010781876,0.9261886752,0.9658113248,3.721163137,4,0.702,,,0,0.122,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.25,0.25,500,499,1,1,0.0960897502,0.0744897502,0.805583672,0.9782262929,0.9744704332,0.9699398798,0.007643943915,0.9549577497,0.9849220098,3.137265443,3.216140617,0.204,,,0.002,0.108,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.25,0.5,500,500,0,1,-0.1344,-0.2,0.6904,0.8602325267,0.8505194923,0.95,0.009746794345,0.9308962831,0.9691037169,2.99879732,2.976490355,0.132,,,0,0.02,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.25,0.75,500,500,0,1,-0.1116897502,-0.0744897502,0.721873467,0.9011829783,0.8951305365,0.944,0.01028241217,0.9238464722,0.9641535278,3.209190704,3.483053169,0.28,,,0,0.064,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.5,0.25,500,500,0,1,-0.1023102498,-0.1255102498,0.478167353,0.5884293902,0.5800471268,0.958,0.008970618708,0.9404175873,0.9755824127,2.136385332,2.115509103,0.002,,,0,0.03,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.5,0.5,500,500,0,1,-0.044,0,0.3264,0.421615939,0.4197336688,0.962,0.008550555538,0.9452409111,0.9787590889,1.761162971,1.74167107,0,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,200,0.5,0.75,500,500,0,1,-0.0308897502,-0.0744897502,0.367787754,0.4832527462,0.4827474808,0.938,0.01078480412,0.9168617839,0.9591382161,1.943268512,1.839006344,0.002,,,0,0.002,,,,,,,,,
DML-IVQR,dgp1,1000,200,1,0.25,500,500,0,1,-0.0679102498,-0.1255102498,0.285538779,0.3595748073,0.3534573584,0.936,0.01094568408,0.9145464592,0.9574535408,1.357096055,1.333350434,0,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,200,1,0.5,500,500,0,1,-0.0156,0,0.2084,0.2740802802,0.2739100097,0.952,0.009559916318,0.933262564,0.970737436,1.047452433,1.042994506,0,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,200,1,0.75,500,500,0,1,-0.0240897502,-0.0744897502,0.235432647,0.2883750268,0.2876548812,0.946,0.01010781876,0.9261886752,0.9658113248,1.108886591,1.085944655,0,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.1,0.25,500,498,2,1,0.5724897502,0.4744897502,1.191093868,1.430629412,1.312402683,0.9638554217,0.008363977524,0.9474620257,0.9802488176,3.790141815,4,0.728,,,0.004,0.142,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.1,0.5,500,498,2,1,0.0576,0.2,1.168,1.325926091,1.326001055,0.9417670683,0.01049400837,0.9211988119,0.9623353247,3.766932296,4,0.716,,,0.004,0.168,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.1,0.75,500,500,0,1,-0.2572897502,-0.0744897502,1.032367344,1.241701323,1.215969293,0.96,0.00876356092,0.9428234206,0.9771765794,3.800552789,4,0.78,,,0,0.15,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.25,0.25,500,500,0,1,0.3172897502,0.2744897502,1.00133877,1.208122902,1.166881049,0.95,0.009746794345,0.9308962831,0.9691037169,3.533015954,3.970917937,0.486,,,0,0.132,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.25,0.5,500,499,1,1,-0.1288,-0.2,0.884,1.071074227,1.064366625,0.9438877756,0.01030240577,0.9236950603,0.9640804909,3.484629407,3.883122638,0.446,,,0.002,0.082,,,,,,,,,
