dgp,n,p,pi,tau,replication,seed,alpha_true,iteration_warning_policy,direct_true_alpha_accepted,direct_true_alpha_rejected,direct_true_alpha_available,grid_variant,alpha_hat,bias,squared_error,covered,cr_lower,cr_upper,cr_length,cr_components,full_grid_accepted,empty_cr,number_of_connected_components,number_of_alpha_evaluations,failed_alpha_evaluations,fully_converged_evaluations,iteration_limit_warning_evaluations,usable_warning_evaluations,unusable_warning_evaluations,runtime_seconds,converged,usable,warning_type,iteration_limit_warning,finite_statistic_available,statistic_used_for_inference,failure_reason,interpolated_true_alpha_accepted,direct_vs_interpolated_mismatch,interpolation_vs_region_mismatch,coverage_loss_vs_direct,interpolation_loss_vs_direct,reconstruction_loss,alpha_true_exact_grid_point,exact_grid_point_consistency_mismatch
dgp1,100,20,1.0,0.5,8,5684352291658456191,1.0,reject,True,False,True,grid_21,1.0,0.0,0.0,True,-0.23889839461572462,2.3726005185084755,2.211498913125585,"[[-0.23889839461572462,1.000000000000768],[1.399999999999383,2.3726005185084755]]",False,False,2,21,1,20,1,0,1,0.291470299474895,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,8,5684352291658456191,1.0,reject,True,False,True,grid_41,1.0,0.0,0.0,True,-0.22486481706878667,2.3760664155168283,2.400931232586335,"[[-0.22486481706878667,1.1000000000003816],[1.2999999999996616,2.3760664155168283]]",False,False,2,41,1,40,1,0,1,0.5658645983785391,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,8,5684352291658456191,1.0,reject,True,False,True,grid_81,1.0,0.0,0.0,True,-0.22371497634670415,2.37600426817507,2.4497192445221456,"[[-0.22371497634670415,1.1000000000001908],[1.2499999999998193,2.37600426817507]]",False,False,2,81,2,79,2,0,2,1.2060389979742467,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,8,5684352291658456191,1.0,reject,True,False,True,adaptive_21_to_0.025,1.0,0.0,0.0,True,-0.2222400051505768,2.375777069382311,2.498017074533075,"[[-0.2222400051505768,1.1250000000000955],[1.224999999999908,2.375777069382311]]",False,False,2,33,2,31,2,0,2,0.5371041991747916,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/33,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,9,2642763520372391068,1.0,reject,True,False,True,grid_21,0.8,-0.19999999999999996,0.03999999999999998,True,-0.35711684741471705,2.2000000000002453,1.9571168474154097,"[[-0.35711684741471705,1.6000000000002024],[2.199999999999755,2.2000000000002453]]",False,False,2,21,4,17,4,0,4,0.4473084998317063,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=4/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,9,2642763520372391068,1.0,reject,True,False,True,grid_41,0.8,-0.19999999999999996,0.03999999999999998,True,-0.35793550234580007,2.3000000000000984,2.2579355023460583,"[[-0.35793550234580007,1.7000000000001043],[2.0999999999999446,2.3000000000000984]]",False,False,2,41,5,36,5,0,5,0.6921034012921154,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=5/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,9,2642763520372391068,1.0,reject,True,False,True,grid_81,0.75,-0.25,0.0625,True,-0.35845629368883786,2.3000000000000496,2.2945185083168496,"[[-0.35845629368883786,1.7000000000000524],[2.06393778537209,2.3000000000000496]]",False,False,2,81,9,72,9,0,9,1.3299510013312101,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=9/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,9,2642763520372391068,1.0,reject,True,False,True,adaptive_21_to_0.025,0.8,-0.19999999999999996,0.03999999999999998,True,-0.3584005428326033,2.325000000000016,2.349399483712601,"[[-0.3584005428326033,1.7250000000000192],[2.0590010591200376,2.325000000000016]]",False,False,2,33,6,27,6,0,6,0.6893245005048811,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=6/33,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,grid_21,0.40000000000000013,-0.5999999999999999,0.3599999999999998,True,-0.800000000000699,3.0,3.800000000000699,"[[-0.800000000000699,3.0]]",False,False,1,21,1,20,1,0,1,0.3434616010636091,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,grid_41,1.1,0.10000000000000009,0.010000000000000018,True,-0.9000000000003221,3.0,3.5000000000017772,"[[-0.9000000000003221,-0.39999999999964947],[-0.2000000000003614,2.200000000000384],[2.39999999999964,3.0]]",False,False,3,41,3,38,3,0,3,0.6642974019050598,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=3/41,True,False,False,False,False,False,True,False
