dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,200,0.5,0.75,post_selection_ivqr,10,10,-0.07448975019608159,-0.1744897501960816,0.3815084833713067,0.3348979500392163,0.3,0.3,0.5,0.5,0.0,0.0,0.1,0.1,,0.0,26.0,4.6720256199943835,,10,
dgp1,500,200,1.0,0.25,dml_ivqr,10,10,0.32448975019608167,0.1744897501960817,0.39723242312570045,0.32448975019608167,0.2,0.2,0.15,0.15,0.0,0.0,0.0,0.0,,0.0,,8.062049599998863,,10,
dgp1,500,200,1.0,0.25,oracle,10,10,0.4744897501960817,0.6744897501960817,0.5789132258302103,0.5395918001568653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.2974250699975528,,10,
dgp1,500,200,1.0,0.25,post_selection_ivqr,10,10,0.17448975019608168,0.1744897501960817,0.1744897501960817,0.17448975019608168,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.0,19.0,3.534184959996492,,10,
dgp1,500,200,1.0,0.5,dml_ivqr,10,10,0.15,0.0,0.27386127875258304,0.15,0.7,0.7,0.1,0.1,0.0,0.0,0.1,0.0,,0.0,,10.010945149994223,,10,
dgp1,500,200,1.0,0.5,oracle,10,10,0.05,0.0,0.15811388300841897,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.476306929992279,,10,
dgp1,500,200,1.0,0.5,post_selection_ivqr,10,10,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,20.6,3.824539769999683,,10,
dgp1,500,200,1.0,0.75,dml_ivqr,10,10,-0.1744897501960816,-0.1744897501960816,0.28363122698936194,0.23959180015686526,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.0,,0.0,,9.03864167999709,,10,
dgp1,500,200,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.46233822000212965,,10,
dgp1,500,200,1.0,0.75,post_selection_ivqr,10,10,-0.024489750196081593,-0.1744897501960816,0.23043382534833395,0.21979590007843264,0.2,0.2,0.1,0.1,0.0,0.0,0.3,0.0,,0.0,22.5,3.993992610002169,,10,
dgp1,500,500,0.1,0.25,dml_ivqr,10,10,1.2744897501960817,1.1744897501960816,1.632275749790724,1.4395918001568653,0.7,0.7,3.25,3.25,0.0,0.0,0.0,0.3,,0.0,,31.239088770002127,,10,
dgp1,500,500,0.1,0.25,oracle,10,10,1.1244897501960818,1.1744897501960816,1.6084082809709872,1.4546938501176492,0.0,0.0,2.15,2.15,0.0,0.0,0.0,0.9,,0.0,10.0,0.36151503000291996,,10,
dgp1,500,500,0.1,0.25,post_selection_ivqr,10,10,0.7244897501960816,0.6744897501960817,1.1168640911673993,0.9546938501176492,0.8,0.8,3.25,3.25,0.0,0.0,0.0,0.3,,0.0,21.2,9.009583669999847,,10,
dgp1,500,500,0.1,0.5,dml_ivqr,10,10,0.4,0.75,1.0488088481701516,0.9,0.6,0.6,2.05,2.05,0.0,0.0,0.0,0.7,,0.0,,40.634071970003426,,10,
dgp1,500,500,0.1,0.5,oracle,10,10,1.35,1.5,1.541103500742244,1.45,0.1,0.1,1.7,1.7,0.0,0.0,0.0,0.7,,0.0,10.0,0.4969757899991237,,10,
