dgp,n,p,pi,tau,covariance_variant,replications_requested,replications_successful,failures,rejection_rate,implied_coverage,mean_wald,median_wald,empirical_wald_q90,empirical_wald_q95,empirical_wald_q99,theoretical_chi2_q95
dgp1,500,200,0.1,0.25,robust_epa_hsheather,500,482,18,0.04979253112033195,0.950207468879668,0.9963332704849934,0.44413253992534657,2.3890529047527522,3.813012942908509,7.243866101373857,3.841458820694124
dgp1,500,200,0.1,0.25,robust_epa_bofinger,500,482,18,0.056016597510373446,0.9439834024896265,1.0519347956431035,0.463350788900102,2.5485157849311353,3.9963705896308586,7.342519749847792,3.841458820694124
dgp1,500,200,0.1,0.25,robust_epa_chamberlain,500,482,18,0.07053941908713693,0.9294605809128631,1.2173695457982248,0.5242678470630413,2.905459007451654,4.693083795981935,8.47594484769631,3.841458820694124
dgp1,500,200,0.1,0.25,iid_epa_hsheather,500,482,18,0.05394190871369295,0.946058091286307,1.0107291739576845,0.4284485871146748,2.4705491876967782,3.9649618498225623,6.983144053369283,3.841458820694124
dgp1,500,200,0.1,0.5,robust_epa_hsheather,500,489,11,0.049079754601226995,0.950920245398773,0.9300754566558624,0.44110234817524185,2.551802445967426,3.6783366254215593,5.597187539879719,3.841458820694124
dgp1,500,200,0.1,0.5,robust_epa_bofinger,500,489,11,0.03067484662576687,0.9693251533742331,0.7943766684094229,0.36865915899427426,2.1720856074618635,3.0785404454910346,4.84464345907171,3.841458820694124
dgp1,500,200,0.1,0.5,robust_epa_chamberlain,500,489,11,0.07770961145194274,0.9222903885480572,1.1873308443858093,0.5335627393041588,3.142091610175356,4.540639279982725,7.701730162584299,3.841458820694124
dgp1,500,200,0.1,0.5,iid_epa_hsheather,500,489,11,0.049079754601226995,0.950920245398773,0.9300754566558627,0.4411023481752421,2.551802445967426,3.67833662542156,5.597187539879729,3.841458820694124
dgp1,500,200,0.1,0.75,robust_epa_hsheather,500,487,13,0.0513347022587269,0.9486652977412731,1.086199338945611,0.5395369577416871,2.786163904957907,3.868858765563945,7.2600157982513105,3.841458820694124
dgp1,500,200,0.1,0.75,robust_epa_bofinger,500,487,13,0.06570841889117043,0.9342915811088296,1.1285834924560687,0.566161855987702,2.864070476985886,4.046146395320617,7.735174413289194,3.841458820694124
dgp1,500,200,0.1,0.75,robust_epa_chamberlain,500,487,13,0.08008213552361396,0.919917864476386,1.2873346224459958,0.6246014254309373,3.429532402037019,4.806628445015403,8.560217012609597,3.841458820694124
dgp1,500,200,0.1,0.75,iid_epa_hsheather,500,487,13,0.059548254620123205,0.9404517453798767,1.1057692960957037,0.5564849195116515,2.9080868673623237,3.9857610990933043,7.373983471388823,3.841458820694124
dgp1,500,200,1.0,0.25,robust_epa_hsheather,500,487,13,0.059548254620123205,0.9404517453798767,1.1370568212010301,0.5095043193726513,2.993354157586981,4.281307796634153,7.566636047024112,3.841458820694124
dgp1,500,200,1.0,0.25,robust_epa_bofinger,500,487,13,0.06776180698151951,0.9322381930184804,1.192582585199412,0.5362241321590634,3.1445170648367613,4.476332525188425,8.15872182592505,3.841458820694124
dgp1,500,200,1.0,0.25,robust_epa_chamberlain,500,487,13,0.09034907597535935,0.9096509240246407,1.3726290219273811,0.6018946207617804,3.632120832302571,5.205588391125305,9.304624722035362,3.841458820694124
dgp1,500,200,1.0,0.25,iid_epa_hsheather,500,487,13,0.059548254620123205,0.9404517453798767,1.1342265244261314,0.5140844655713607,3.022740766050983,4.305108114999136,7.255425085914683,3.841458820694124
dgp1,500,200,1.0,0.5,robust_epa_hsheather,500,490,10,0.053061224489795916,0.9469387755102041,1.1338521550483391,0.5527997308728692,3.110183401144449,3.93390052937988,6.109826392785288,3.841458820694124
dgp1,500,200,1.0,0.5,robust_epa_bofinger,500,490,10,0.04081632653061224,0.9591836734693877,0.9648994277368795,0.4717840214351585,2.6619015028397754,3.4246797240877944,5.0716511406546285,3.841458820694124
dgp1,500,200,1.0,0.5,robust_epa_chamberlain,500,490,10,0.11428571428571428,0.8857142857142857,1.4335544146387882,0.668878654075667,4.073596571150096,5.186274357331949,7.4421323546440865,3.841458820694124
dgp1,500,200,1.0,0.5,iid_epa_hsheather,500,490,10,0.053061224489795916,0.9469387755102041,1.1338521550483394,0.5527997308728693,3.110183401144449,3.933900529379882,6.109826392785292,3.841458820694124
dgp1,500,200,1.0,0.75,robust_epa_hsheather,500,485,15,0.06804123711340206,0.931958762886598,1.1478207762559653,0.5451587711184932,2.8627235036364245,4.540768890617786,6.332065753964405,3.841458820694124
dgp1,500,200,1.0,0.75,robust_epa_bofinger,500,485,15,0.07628865979381444,0.9237113402061856,1.1886152973086785,0.554801657133185,3.0837600515604757,4.63358987041189,6.404056415653816,3.841458820694124
dgp1,500,200,1.0,0.75,robust_epa_chamberlain,500,485,15,0.10103092783505155,0.8989690721649485,1.3542240781846018,0.6349732729125249,3.875713582898313,5.061886644383772,7.368951546521265,3.841458820694124
dgp1,500,200,1.0,0.75,iid_epa_hsheather,500,485,15,0.06804123711340206,0.931958762886598,1.152296396423987,0.5482957704730753,2.912438752693501,4.646458975896524,6.181558440144773,3.841458820694124
dgp2,500,200,0.1,0.25,robust_epa_hsheather,500,474,26,0.05485232067510549,0.9451476793248945,1.1658826092726704,0.46418257263614726,2.951834194315911,4.11969495264705,9.09153602857928,3.841458820694124
dgp2,500,200,0.1,0.25,robust_epa_bofinger,500,474,26,0.07172995780590717,0.9282700421940928,1.250402767178558,0.5056748994561038,3.105713002480965,4.299964004176905,9.337306022426102,3.841458820694124
dgp2,500,200,0.1,0.25,robust_epa_chamberlain,500,474,26,0.10126582278481013,0.8987341772151899,1.5545901257049428,0.6102899826614661,3.8541803827018057,5.293896760910838,11.393955918817348,3.841458820694124
dgp2,500,200,0.1,0.25,iid_epa_hsheather,500,474,26,0.05907172995780591,0.9409282700421941,1.166469825072447,0.4797849597007902,2.860680369717674,4.280217646881227,9.257485925112137,3.841458820694124
dgp2,500,200,0.1,0.5,robust_epa_hsheather,500,478,22,0.043933054393305436,0.9560669456066946,0.964110106289223,0.4375626923189374,2.626560188059262,3.67767530272587,5.782335381823788,3.841458820694124
dgp2,500,200,0.1,0.5,robust_epa_bofinger,500,478,22,0.02301255230125523,0.9769874476987448,0.804747936893549,0.3546503462309709,2.1967211237269013,3.020880503753293,4.833124476102326,3.841458820694124
dgp2,500,200,0.1,0.5,robust_epa_chamberlain,500,478,22,0.08786610878661087,0.9121338912133892,1.3504028641539567,0.6073818750540636,3.631180894364242,4.861442313831391,8.105868975893193,3.841458820694124
dgp2,500,200,0.1,0.5,iid_epa_hsheather,500,478,22,0.043933054393305436,0.9560669456066946,0.964110106289223,0.4375626923189373,2.626560188059263,3.6776753027258686,5.782335381823785,3.841458820694124
dgp2,500,200,0.1,0.75,robust_epa_hsheather,500,480,20,0.06458333333333334,0.9354166666666667,1.0699488995769468,0.412256049464972,2.776717115548935,4.254185833698704,7.88902572710378,3.841458820694124
dgp2,500,200,0.1,0.75,robust_epa_bofinger,500,480,20,0.075,0.925,1.1332001948549457,0.43280132060294135,2.930876474887062,4.568616769462859,8.589692084032068,3.841458820694124
dgp2,500,200,0.1,0.75,robust_epa_chamberlain,500,480,20,0.09583333333333334,0.9041666666666667,1.4095725765403402,0.5624312865659,3.610969545077734,5.7173227209020885,11.223505990832873,3.841458820694124
dgp2,500,200,0.1,0.75,iid_epa_hsheather,500,480,20,0.06666666666666667,0.9333333333333333,1.0769504392199423,0.415671880632443,2.7233569756644056,4.368145301811345,7.8716258730145485,3.841458820694124
dgp2,500,200,1.0,0.25,robust_epa_hsheather,500,481,19,0.08108108108108109,0.9189189189189189,1.2472352644416997,0.6159313054361829,3.564867415250677,4.384172307535816,7.747721363875154,3.841458820694124
dgp2,500,200,1.0,0.25,robust_epa_bofinger,500,481,19,0.09355509355509356,0.9064449064449065,1.3306430410664318,0.6512489326993144,3.7190690011699163,4.808496196677613,7.835806094986511,3.841458820694124
dgp2,500,200,1.0,0.25,robust_epa_chamberlain,500,481,19,0.13097713097713098,0.869022869022869,1.6263848882007772,0.824905489655852,4.4560694609193385,5.666447030985708,9.207471664177262,3.841458820694124
