dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,error_type,error_message,failed,converged,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,cr_lower,cr_upper,cr_length,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_empty,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,cr_covers_true,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,12345,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.2977776852091106,1.4244042681253766,1.3221819533358508,False,False,False,False,8,0.38095238095238093,2,True,1.722181953334487,True,8,0.3374865830410272,0.3374865830410272,,0.3374865830410272,0.15567649994045496,0.00016958301421254873,,5.758192855864763e-05,,,,,,,,0.3374865830410272,0.1812458341009915,,0.15567649994045496,,0.00016958301421254873,0.00033708405680954456,,,,,,,,,1,0.047619047619047616,0.11443361250212794,1000000000000.0,0.11443361250212794,3.8414588206941205,8,1,9,0.04,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3903708574824635,0.3791735875178557,0.22493902393641557,142.20832312914874,2.122394084782379,lassocv_control_union,0.18748377013677123,,0.052850479897659765,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=6; selected_d=7; selected_union=8
dgp1,500,200,1.0,0.25,1,12346,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.4000000000003317,1.6012437620091133,2.001243762009445,False,False,False,False,11,0.5238095238095238,1,False,2.001243762009445,True,18,0.6310179169522598,0.6310179169522598,,0.6310179169522598,0.44829704193398356,0.0001593329943716526,,6.541714537888765e-05,,,,,,,,0.6310179169522598,0.18127929198089987,,0.44829704193398356,,0.0001593329943716526,0.0012168328976258636,,,,,,,,,1,0.047619047619047616,0.012071713844622604,1000000000000.0,0.012071713844622604,3.8414588206941205,18,1,19,0.09,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.48343976815529865,0.46299259231144585,0.241710799564578,153.00387203770828,2.8997216901729934,lassocv_control_union,0.18063000467948176,,0.03468246066025418,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=10; selected_d=15; selected_union=18
dgp1,500,200,1.0,0.25,2,12347,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.27590771514849705,0.8643255338830181,0.740233249032347,False,False,False,False,5,0.23809523809523808,2,True,1.1402332490315152,True,13,0.6460855000186712,0.6460855000186712,,0.6460855000186712,0.47537849994841963,0.00016583292745053768,,5.8625126257538795e-05,,,,,,,,0.6460855000186712,0.17004866700153798,,0.47537849994841963,,0.00016583292745053768,0.0004338750150054693,,,,,,,,,3,0.14285714285714285,0.10511247197692718,1000000000000.0,0.10511247197692718,3.8414588206941205,13,1,14,0.065,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.411400817945376,0.3944103260922528,0.23629607616474568,150.06286253496305,2.600362656552052,lassocv_control_union,0.17662643742898124,,0.043312656625952024,3,False,False,False,,ok; failed_alpha_points=3/21; selected_y=8; selected_d=13; selected_union=13
dgp1,500,200,1.0,0.25,3,12348,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.6205562611140616,1.074015405610493,1.6945716667245545,False,False,False,False,9,0.42857142857142855,1,False,1.6945716667245545,True,16,0.6061972921015695,0.6061972921015695,,0.6061972921015695,0.4412613339954987,0.0001657500397413969,,5.608296487480402e-05,,,,,,,,0.6061972921015695,0.1641552080400288,,0.4412613339954987,,0.0001657500397413969,0.0005589170614257455,,,,,,,,,1,0.047619047619047616,0.013960557795380694,1000000000000.0,0.013960557795380694,3.8414588206941205,16,1,17,0.08,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.44677616811115584,0.4272641242478563,0.2561004970090992,165.93698350662254,2.6428712876294638,lassocv_control_union,0.2146778091096429,,0.04138270386008411,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=8; selected_d=13; selected_union=16
dgp1,500,200,1.0,0.25,4,12349,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.40000000000022234,0.9910241570736025,0.99102415707523,False,False,False,False,6,0.2857142857142857,2,True,1.3910241570738249,False,25,1.2214498750399798,1.2214498750399798,,1.2214498750399798,1.1035414589568973,0.00014220899902284145,,4.912505391985178e-05,,,,,,,,1.2214498750399798,0.11299491603858769,,1.1035414589568973,,0.00014220899902284145,0.004722165991552174,,,,,,,,,4,0.19047619047619047,0.09036167743955416,1000000000000.0,0.09036167743955416,3.8414588206941205,25,1,26,0.125,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45343985832068334,0.42339638330236995,0.25269697057729673,159.94270379901408,2.8606561437883187,lassocv_control_union,0.1612068989748641,,0.042820693200635376,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=21; selected_d=12; selected_union=25
dgp1,500,200,1.0,0.25,5,12350,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.5110220798051536,0.622203327598334,1.1332254074034875,False,False,False,False,6,0.2857142857142857,1,False,1.1332254074034875,True,20,0.7781214159913361,0.7781214159913361,,0.7781214159913361,0.6209692499833182,0.0001490830909460783,,6.30419235676527e-05,,,,,,,,0.7781214159913361,0.15553833299782127,,0.6209692499833182,,0.0001490830909460783,0.0014017079956829548,,,,,,,,,2,0.09523809523809523,0.029745061341972495,1000000000000.0,0.029745061341972495,3.8414588206941205,20,1,21,0.1,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.46721453963110715,0.44380764702075826,0.25628865591907435,164.722480710187,3.039735703153216,lassocv_control_union,0.19971615114967622,,0.03659871271135071,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=6; selected_d=18; selected_union=20
dgp1,500,200,1.0,0.25,6,12351,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.0726556740920048,1.2968497795593672,0.9695054536525339,False,False,False,False,6,0.2857142857142857,2,True,1.369505453651372,True,19,0.7269753750879318,0.7269753750879318,,0.7269753750879318,0.5640088750515133,0.0001425419468432665,,5.7208118960261345e-05,,,,,,,,0.7269753750879318,0.1615003750193864,,0.5640088750515133,,0.0001425419468432665,0.0012663749512284994,,,,,,,,,1,0.047619047619047616,0.005727948175407795,1000000000000.0,0.005727948175407795,3.8414588206941205,19,1,20,0.095,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.49675142813024364,0.47573896166386553,0.35274001983749215,261.0426639690241,2.9191022867214045,lassocv_control_union,0.16272008222432,,0.04575082483070471,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=18; selected_d=7; selected_union=19
dgp1,500,200,1.0,0.25,7,12352,post_selection_ivqr,-0.19999999999999996,0.3255102498039183,-0.5255102498039183,0.5255102498039183,0.2761610226489766,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.7828367693299033,0.45955952448803944,0.8423962938191805,False,False,False,False,5,0.23809523809523808,2,True,1.2423962938179427,True,8,0.39317345793824643,0.39317345793824643,,0.39317345793824643,0.23526758304797113,0.00013774994295090437,,4.6083005145192146e-05,,,,,,,,0.39317345793824643,0.15745283395517617,,0.23526758304797113,,0.00013774994295090437,0.0002692079870030284,,,,,,,,,1,0.047619047619047616,0.03743236874481869,1000000000000.0,0.03743236874481869,3.8414588206941205,8,1,9,0.04,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.46023526105678114,0.4503212148312935,0.35040976621306963,264.32168544689523,2.4510542158471633,lassocv_control_union,0.18084699389273998,,0.053254678070997256,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=5; selected_d=6; selected_union=8
dgp1,500,200,1.0,0.25,8,12353,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.03447805432858903,0.9611140364663976,0.9266359821378085,False,False,False,False,4,0.19047619047619047,1,False,0.9266359821378085,True,19,0.6514530000276864,0.6514530000276864,,0.6514530000276864,0.5285147910472006,0.00013108295388519764,,6.458407733589411e-05,,,,,,,,0.6514530000276864,0.12158787494990975,,0.5285147910472006,,0.00013108295388519764,0.0011546669993549585,,,,,,,,,2,0.09523809523809523,0.21534189697899683,1000000000000.0,0.21534189697899683,3.8414588206941205,19,1,20,0.095,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.49821617220031433,0.47726486415022307,0.3109982615374428,216.20869579929308,2.7531674348094968,lassocv_control_union,0.16323078470125157,,0.04456106893819363,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=13; selected_d=10; selected_union=19
dgp1,500,200,1.0,0.25,9,12354,post_selection_ivqr,-0.19999999999999996,0.3255102498039183,-0.5255102498039183,0.5255102498039183,0.2761610226489766,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.7433857347047377,0.6035253367517606,0.946911071457577,False,False,False,False,6,0.2857142857142857,2,True,1.3469110714564982,False,14,0.5696497079916298,0.5696497079916298,,0.5696497079916298,0.47355175006669015,0.00012116692960262299,,4.816602449864149e-05,,,,,,,,0.5696497079916298,0.09552158298902214,,0.47355175006669015,,0.00012116692960262299,0.0004070419818162918,,,,,,,,,4,0.19047619047619047,0.00425300631958733,1000000000000.0,0.00425300631958733,3.8414588206941205,14,1,15,0.07,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.44790999221609185,0.4307997647021278,0.2946984557427477,202.2313062276033,2.3358902926314755,lassocv_control_union,0.23689673602773115,,0.038409193309309635,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=7; selected_d=12; selected_union=14
dgp1,500,200,1.0,0.5,0,13345,post_selection_ivqr,0.8,1.0,-0.19999999999999996,0.19999999999999996,0.03999999999999998,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.16796448854566282,1.3186587680544144,1.1506942795087516,False,False,False,False,6,0.2857142857142857,1,False,1.1506942795087516,True,17,0.646364749991335,0.646364749991335,,0.646364749991335,0.43924279196653515,0.00015837501268833876,,5.904200952500105e-05,,,,,,,,0.646364749991335,0.2059443750185892,,0.43924279196653515,,0.00015837501268833876,0.0009601659839972854,,,,,,,,,1,0.047619047619047616,0.1378704740712034,1000000000000.0,0.1378704740712034,3.8414588206941205,17,1,18,0.085,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4313015597290495,0.4100197054153757,0.262741683631945,171.41719126281728,2.436557853010359,lassocv_control_union,0.15506484919406183,,0.05012756428297181,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=13; selected_d=8; selected_union=17
