dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,post_selection_ivqr,-0.19999999999999996,0.3255102498039183,-0.5255102498039183,0.5255102498039183,0.2761610226489766,ok,False,True,,,-0.7959592901218083,0.5195287119427106,0.9154880020659741,False,True,False,False,False,5,0.23809523809523808,2,True,1.315488002064519,-1.0,3.0,21,0.2,False,False,False,2,0.09523809523809523,0.0007266377381787209,1000000000000.0,0.0007266377381787209,3.841458820694124,3.841458820694124,1.0,3.841458820694124,11,2.1244561998173594,2.1244561998173594,,2.1244561998173594,1.770131800090894,0.00045410008169710636,,0.00023309956304728985,,,,,,,,2.1244561998173594,0.35221670009195805,,1.770131800090894,,0.00045410008169710636,0.0014204999897629023,,,,,,,,,11,1,12,0.055,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.48097736471194774,0.46818830593688276,0.33848968389385703,249.19411238608433,2.759708624706176,lassocv_control_union,1.2,0.21258815165293793,,0.05369599156644418,0.17715679304411494,0.04474665963870349,0.21258815165293793,0.05369599156644418,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=8; selected_d=6; selected_union=11; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,1,9214940379343621333,post_selection_ivqr,0.6000000000000001,0.3255102498039183,0.2744897501960818,0.2744897501960818,0.07534462296270739,ok,False,True,,,-0.6253739541085686,1.520905511406525,1.746279465516531,False,False,False,False,False,10,0.47619047619047616,2,True,2.146279465515094,-1.0,3.0,21,0.2,False,False,False,3,0.14285714285714285,0.06525776349460347,1000000000000.0,0.06525776349460347,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,1.167064500041306,1.167064500041306,,1.167064500041306,0.809378000209108,0.0003527000080794096,,0.0002484999131411314,,,,,,,,1.167064500041306,0.35433629993349314,,0.809378000209108,,0.0003527000080794096,0.0027489999774843454,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4430019618489238,0.43507719301344105,0.3253234860576183,237.23836806629595,2.701151133507031,lassocv_control_union,1.2,0.2362767669901556,,0.06725208080142124,0.19689730582512968,0.05604340066785104,0.2362767669901556,0.06725208080142124,3,False,False,False,,ok; failed_alpha_points=3/21; selected_y=6; selected_d=3; selected_union=6; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,2,3154660004538282353,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.6811797799142628,0.6000000000005867,1.2811797799148494,False,True,False,False,False,7,0.3333333333333333,1,False,1.2811797799148494,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,8.685182804443751e-05,1000000000000.0,8.685182804443751e-05,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,0.9482110999524593,0.9482110999524593,,0.9482110999524593,0.5969222998246551,0.00047369999811053276,,0.0003021999727934599,,,,,,,,0.9482110999524593,0.34755560010671616,,0.5969222998246551,,0.00047369999811053276,0.0029573000501841307,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3635244218659627,0.3544688750225923,0.2533343727142475,166.92948867687633,2.4103486684165856,lassocv_control_union,1.2,0.1890543320529853,,0.05928781695032098,0.15754527671082108,0.04940651412526749,0.1890543320529853,0.05928781695032098,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=6; selected_d=3; selected_union=6; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,3,1717475357442033914,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-0.9777320770814781,0.6281656285187494,1.6058977056002275,False,True,False,False,False,8,0.38095238095238093,1,False,1.6058977056002275,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.08221807525939723,62.52960557746484,0.08221807525939723,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.5169031999539584,0.5169031999539584,,0.5169031999539584,0.1482419001404196,0.00043969997204840183,,0.00021109962835907936,,,,,,,,0.5169031999539584,0.3658249001018703,,0.1482419001404196,,0.00043969997204840183,0.00218560011126101,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.36870257293123754,0.363601179581187,0.2690104770960447,182.1642882562053,1.9466669708706592,lassocv_control_union,1.2,0.22069903031521643,,0.06494805972786734,0.1839158585960137,0.05412338310655612,0.22069903031521643,0.06494805972786734,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=3; selected_union=3; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,4,8676467209849990564,post_selection_ivqr,0.8,0.3255102498039183,0.47448975019608175,0.47448975019608175,0.22514052304114007,ok,False,True,,,0.067747167235425,1.4622784699768263,1.3945313027414012,False,True,False,False,False,7,0.3333333333333333,1,False,1.3945313027414012,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.1881361099524438,46.09705876361946,0.1881361099524438,3.841458820694124,3.841458820694124,1.0,3.841458820694124,7,1.1118630999699235,1.1118630999699235,,1.1118630999699235,0.7114722998812795,0.0007087001577019691,,0.00026819994673132896,,,,,,,,1.1118630999699235,0.3888276000507176,,0.7114722998812795,,0.0007087001577019691,0.010586299933493137,,,,,,,,,7,1,8,0.035,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.39003051201796257,0.3800921089551188,0.285302801269543,196.00423182318528,2.258081212073422,lassocv_control_union,1.2,0.19159768909009647,,0.0579920376686657,0.15966474090841373,0.04832669805722142,0.19159768909009647,0.0579920376686657,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=6; selected_d=4; selected_union=7; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,5,8448470054762995597,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,False,True,,,-0.25749116288636764,0.8700011523415475,1.127492315227915,False,True,False,False,False,6,0.2857142857142857,1,False,1.127492315227915,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.028812432851834248,46.30953465666846,0.028812432851834248,3.841458820694124,3.841458820694124,1.0,3.841458820694124,11,1.77336909994483,1.77336909994483,,1.77336909994483,1.3783553000539541,0.0003698000218719244,,0.00015489989891648293,,,,,,,,1.77336909994483,0.39353989996016026,,1.3783553000539541,,0.0003698000218719244,0.0009492000099271536,,,,,,,,,11,1,12,0.055,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4253889667574343,0.4112301733305127,0.2806640888844717,190.0133292035601,2.6227437753233893,lassocv_control_union,1.2,0.2119094616444659,,0.060434535399394564,0.1765912180370549,0.050362112832828806,0.2119094616444659,0.060434535399394564,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=8; selected_d=7; selected_union=11; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,6,5021447493907674237,post_selection_ivqr,0.6000000000000001,0.3255102498039183,0.2744897501960818,0.2744897501960818,0.07534462296270739,ok,False,True,,,-0.034090581071584025,1.429536103999418,1.4273949444201326,False,True,False,False,False,7,0.3333333333333333,2,True,1.4636266850710022,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.09019973998519258,1000000000000.0,0.09019973998519258,3.841458820694124,3.841458820694124,1.0,3.841458820694124,16,1.8886821998748928,1.8886821998748928,,1.8886821998748928,1.4972852000501007,0.000363500090315938,,0.00015499978326261044,,,,,,,,1.8886821998748928,0.3898419998586178,,1.4972852000501007,,0.000363500090315938,0.0010365000925958157,,,,,,,,,16,1,17,0.08,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.42316901595831236,0.4028243546954312,0.2778284331401834,185.43142781964832,2.5133212004607848,lassocv_control_union,1.2,0.15197391134752664,,0.05821442042946196,0.12664492612293887,0.048512017024551636,0.15197391134752664,0.05821442042946196,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=16; selected_d=4; selected_union=16; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,7,21741838260193456,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.4759798619548808,1.0879151534756528,1.5638950154305336,False,True,False,False,False,8,0.38095238095238093,1,False,1.5638950154305336,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.003189868085123422,46.82709050924573,0.003189868085123422,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,0.8767158999107778,0.8767158999107778,,0.8767158999107778,0.4583542998880148,0.00039499998092651367,,0.00023959996178746223,,,,,,,,0.8767158999107778,0.415225800126791,,0.4583542998880148,,0.00039499998092651367,0.0025011999532580376,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3732104609215816,0.36429272357696996,0.28993215710305265,200.8915383531941,2.3999320948438885,lassocv_control_union,1.2,0.19956638592684972,,0.0663359138268845,0.1663053216057081,0.055279928189070425,0.19956638592684972,0.0663359138268845,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=6; selected_d=3; selected_union=6; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,8,4118864315573949973,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-0.7816351519154989,0.8125516910121763,1.5941868429276753,False,True,False,False,False,8,0.38095238095238093,1,False,1.5941868429276753,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.011597702101717039,68.8188703767548,0.011597702101717039,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.7436822999734432,0.7436822999734432,,0.7436822999734432,0.3351073998492211,0.0006953999400138855,,0.00020240014418959618,,,,,,,,0.7436822999734432,0.40563519997522235,,0.3351073998492211,,0.0006953999400138855,0.0020419000647962093,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.394769944482835,0.38740406145422845,0.28422380696618404,195.76277920116414,2.2130136690941047,lassocv_control_union,1.2,0.24475425128504652,,0.06217243992843393,0.2039618760708721,0.05181036660702828,0.24475425128504652,0.06217243992843393,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=5; selected_d=4; selected_union=5; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,9,4913464245341002973,post_selection_ivqr,0.8,0.3255102498039183,0.47448975019608175,0.47448975019608175,0.22514052304114007,ok,False,True,,,-0.00801798488172814,1.2418271751658596,1.0875324168593128,False,True,False,False,False,6,0.2857142857142857,2,True,1.2498451600475877,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.05654655273006853,54.43330685589907,0.05654655273006853,3.841458820694124,3.841458820694124,1.0,3.841458820694124,16,1.306974100181833,1.306974100181833,,1.306974100181833,0.9134230001363903,0.00029339990578591824,,0.00014090025797486305,,,,,,,,1.306974100181833,0.39217899995855987,,0.9134230001363903,,0.00029339990578591824,0.0009377999231219292,,,,,,,,,16,1,17,0.08,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.40470137508635995,0.38370536549397016,0.2961625769457847,202.81723791897952,2.0443880825961913,lassocv_control_union,1.2,0.14453576932287468,,0.06932381206379523,0.1204464744357289,0.05776984338649603,0.14453576932287468,0.06932381206379523,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=16; selected_d=3; selected_union=16; selection_lasso_multiplier=1.2
dgp1,500,200,1.0,0.25,10,1453254785829149130,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,False,True,,,-0.38884742974610964,0.8367780134528977,1.2256254431990072,False,True,False,False,False,6,0.2857142857142857,1,False,1.2256254431990072,-1.0,3.0,21,0.2,False,False,False,2,0.09523809523809523,0.14427978167158334,1000000000000.0,0.14427978167158334,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,0.8957871999591589,0.8957871999591589,,0.8957871999591589,0.5386298999655992,0.0004499000497162342,,0.00018489989452064037,,,,,,,,0.8957871999591589,0.35382550000213087,,0.5386298999655992,,0.0004499000497162342,0.0026970000471919775,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.41935089541015247,0.4110896276619229,0.3240006730863061,235.81137556193832,2.4264861295249633,lassocv_control_union,1.2,0.2305134315278089,,0.06956194952881276,0.19209452627317408,0.05796829127401063,0.2305134315278089,0.06956194952881276,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=6; selected_d=3; selected_union=6; selection_lasso_multiplier=1.2
