dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.5137393997020452,0.8285126408858028,1.342252040587848,False,True,False,False,False,7,0.3333333333333333,1,False,1.342252040587848,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.13959256495578543,1000000000000.0,0.13959256495578543,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9021378000034019,0.9021378000034019,,0.9021378000034019,0.35626019997289404,0.0004333999822847545,,0.00020190002396702766,,,,,,,,0.9021378000034019,0.5426883000181988,,0.35626019997289404,,0.0004333999822847545,0.002554000006057322,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45211258129487053,0.44768520821442503,0.3438534987452691,259.4046932406484,2.2288274074936147,lassocv_control_union,2.0,0.3543135860882316,,0.08949331927740671,0.1771567930441158,0.044746659638703355,0.3543135860882316,0.08949331927740671,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=3; selected_d=3; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,1,9214940379343621333,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.5716552007002667,0.9260869098133625,1.497742110513629,False,True,False,False,False,7,0.3333333333333333,1,False,1.497742110513629,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.009908604279145373,34.51151992791775,0.009908604279145373,3.841458820694124,3.841458820694124,1.0,3.841458820694124,2,0.7596826999797486,0.7596826999797486,,0.7596826999797486,0.20860240003094077,0.00044999999227002263,,0.00017179996939375997,,,,,,,,0.7596826999797486,0.5492073000059463,,0.20860240003094077,,0.00044999999227002263,0.0012511999811977148,,,,,,,,,2,1,3,0.01,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.41240973354708166,0.40885576016127767,0.3064560530703366,219.16736927170157,1.74730389246821,lassocv_control_union,2.0,0.3937946116502601,,0.1120868013357014,0.19689730582513004,0.0560434006678507,0.3937946116502601,0.1120868013357014,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=2; selected_d=2; selected_union=2; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,2,3154660004538282353,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.6588379335272452,0.8645271022092795,1.5233650357365247,False,True,False,False,False,8,0.38095238095238093,1,False,1.5233650357365247,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.010825083642334768,1000000000000.0,0.010825083642334768,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8729067000094801,0.8729067000094801,,0.8729067000094801,0.3363386000273749,0.0003920000162906945,,0.000166199984960258,,,,,,,,0.8729067000094801,0.5333945999736898,,0.3363386000273749,,0.0003920000162906945,0.0026153000071644783,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.35121354631896184,0.34597082750133723,0.24797419522025535,163.22209404765962,2.1604643476614998,lassocv_control_union,2.0,0.31509055342164105,,0.09881302825053534,0.15754527671082053,0.04940651412526767,0.31509055342164105,0.09881302825053534,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,3,1717475357442033914,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,-0.9777324007963363,0.6281656285174194,1.6058980293137557,False,True,False,False,False,8,0.38095238095238093,1,False,1.6058980293137557,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.08221808103758547,62.529605552017735,0.08221808103758547,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7298049999517389,0.7298049999517389,,0.7298049999517389,0.18689210002776235,0.0003684000112116337,,0.00017419987125322223,,,,,,,,0.7298049999517389,0.5397924000280909,,0.18689210002776235,,0.0003684000112116337,0.002577900013420731,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.36870257293123876,0.3636011795811881,0.2690104770960444,182.16428825620508,1.9466669708706525,lassocv_control_union,2.0,0.3678317171920289,,0.10824676621311285,0.18391585859601445,0.05412338310655643,0.3678317171920289,0.10824676621311285,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,4,8676467209849990564,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,False,True,,,-0.24981734350376586,1.505427297862381,1.3552446413668342,False,True,False,False,False,8,0.38095238095238093,2,True,1.7552446413661469,-1.0,3.0,21,0.2,False,False,False,1,0.047619047619047616,0.003417502751699569,1000000000000.0,0.003417502751699569,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7909996999660507,0.7909996999660507,,0.7909996999660507,0.2672100000199862,0.00038520002271980047,,0.00015579996397718787,,,,,,,,0.7909996999660507,0.5208896999829449,,0.2672100000199862,,0.00038520002271980047,0.0023589999764226377,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3632319457068227,0.35808634526809,0.2821389862998043,194.54852060921306,2.133575415814396,lassocv_control_union,2.0,0.31932948181682563,,0.09665339611444279,0.15966474090841282,0.048326698057221396,0.31932948181682563,0.09665339611444279,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,5,8448470054762995597,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.3282589984881891,0.8727957200534461,1.2010547185416351,False,True,False,False,False,6,0.2857142857142857,1,False,1.2010547185416351,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.01993565753097263,45.990921065351294,0.01993565753097263,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,0.7668280000216328,0.7668280000216328,,0.7668280000216328,0.24758870003279299,0.0003819999983534217,,0.00018420000560581684,,,,,,,,0.7668280000216328,0.5158209999790415,,0.24758870003279299,,0.0003819999983534217,0.00285210000583902,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4024835939264779,0.39643585702289974,0.2888664363061701,200.6655666679879,2.3332646510435353,lassocv_control_union,2.0,0.3531824360741121,,0.10072422566565854,0.17659121803705605,0.05036211283282927,0.3531824360741121,0.10072422566565854,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,6,5021447493907674237,post_selection_ivqr,0.8,0.3255102498039183,0.47448975019608175,0.47448975019608175,0.22514052304114007,ok,False,True,,,-0.22663877389531553,1.3734547856169348,1.6000935595122503,False,True,False,False,False,8,0.38095238095238093,1,False,1.6000935595122503,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.05814711175134259,44.92328199361897,0.05814711175134259,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,0.9045102000236511,0.9045102000236511,,0.9045102000236511,0.4028666999656707,0.0003874999820254743,,0.00032070011366158724,,,,,,,,0.9045102000236511,0.4990987000055611,,0.4028666999656707,,0.0003874999820254743,0.0018365999567322433,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4100447022964825,0.4016510293616763,0.27817492285747525,189.6055794953413,2.3841918553427375,lassocv_control_union,2.0,0.2532898522458745,,0.09702403404910312,0.12664492612293726,0.04851201702455156,0.2532898522458745,0.09702403404910312,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=6; selected_d=3; selected_union=6; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,7,21741838260193456,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.6452523694460088,1.0300511435951676,1.6753035130411764,False,True,False,False,False,9,0.42857142857142855,1,False,1.6753035130411764,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0040154594961083695,41.69258398783795,0.0040154594961083695,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7398297000327148,0.7398297000327148,,0.7398297000327148,0.23353620001580566,0.0004351999959908426,,0.00017560005653649569,,,,,,,,0.7398297000327148,0.5035299999872223,,0.23353620001580566,,0.0004351999959908426,0.0021526999771595,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.37080980996084545,0.36572544478881186,0.2914544094598637,203.6141846181741,2.2363367875827973,lassocv_control_union,2.0,0.33261064321141387,,0.11055985637814074,0.16630532160570694,0.05527992818907037,0.33261064321141387,0.11055985637814074,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,8,4118864315573949973,post_selection_ivqr,-0.19999999999999996,0.3255102498039183,-0.5255102498039183,0.5255102498039183,0.2761610226489766,ok,False,True,,,-0.9530431447733828,0.9007966207864633,1.853839765559846,False,True,False,False,False,9,0.42857142857142855,1,False,1.853839765559846,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.01598874089173134,70.34942546131273,0.01598874089173134,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.6031320999609306,0.6031320999609306,,0.6031320999609306,0.13987519999500364,0.0002867000293917954,,0.00013259996194392443,,,,,,,,0.6031320999609306,0.46113880001939833,,0.13987519999500364,,0.0002867000293917954,0.0016987999551929533,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.38361993449388865,0.3786390854796978,0.2802462235564164,192.73518972817718,1.8554808532302525,lassocv_control_union,2.0,0.40792375214174514,,0.10362073321405708,0.20396187607087257,0.05181036660702854,0.40792375214174514,0.10362073321405708,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,9,4913464245341002973,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,False,True,,,-0.41429864659123705,0.9518364805728289,1.3661351271640658,False,True,False,False,False,7,0.3333333333333333,1,False,1.3661351271640658,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0010180521194819805,52.69858873341949,0.0010180521194819805,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,0.6754569999757223,0.6754569999757223,,0.6754569999757223,0.21310420002555475,0.0002872000331990421,,0.00015309994341805577,,,,,,,,0.6754569999757223,0.4601191999972798,,0.21310420002555475,,0.0002872000331990421,0.0017932999762706459,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3787574210048803,0.3724695406506786,0.286101672313845,197.97528673463003,1.7659680067633965,lassocv_control_union,2.0,0.2408929488714581,,0.11553968677299188,0.12044647443572905,0.05776984338649594,0.2408929488714581,0.11553968677299188,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=2
dgp1,500,200,1.0,0.25,10,1453254785829149130,post_selection_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-0.3167311845940917,1.054620136060485,1.3713513206545767,False,True,False,False,False,7,0.3333333333333333,1,False,1.3713513206545767,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.12242405146260385,32.24790806134302,0.12242405146260385,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7513665999867953,0.7513665999867953,,0.7513665999867953,0.22499509999761358,0.0003999999607913196,,0.00016459997277706861,,,,,,,,0.7513665999867953,0.5234778000158258,,0.22499509999761358,,0.0003999999607913196,0.0023291000397875905,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4137712125843971,0.4090340102618468,0.31902301840744995,231.89681645682126,1.9013936663407458,lassocv_control_union,2.0,0.38418905254634766,,0.1159365825480215,0.19209452627317383,0.05796829127401075,0.38418905254634766,0.1159365825480215,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=2
