dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,post_selection_ivqr,0.10000000000000009,0.3255102498039183,-0.2255102498039182,0.2255102498039182,0.05085487276662559,ok,False,True,,,-0.5061883723941762,0.8653639938177617,1.371552366211938,False,True,False,False,False,10,0.24390243902439024,1,False,1.371552366211938,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.0018590903763950417,59.37528471864811,0.0018590903763950417,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,1.0356226000003517,1.0356226000003517,,1.0356226000003517,0.6887439999263734,0.0008686000946909189,,0.00022080005146563053,,,,,,,,1.0356226000003517,0.34351839986629784,,0.6887439999263734,,0.0008686000946909189,0.0022708000615239143,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45211258129487053,0.44768520821442503,0.34385349874526827,259.4046932406475,2.228827407493596,lassocv_control_union,1.8,0.3188822274794069,,0.08054398734966628,0.17715679304411494,0.04474665963870349,0.3188822274794069,0.08054398734966628,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=3; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,1,9214940379343621333,post_selection_ivqr,0.25,0.3255102498039183,-0.0755102498039183,0.0755102498039183,0.005701797825450143,ok,False,True,,,-0.5833102233094227,0.8079787572216051,1.3912889805310278,False,True,False,False,False,9,0.21951219512195122,1,False,1.3912889805310278,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.048849083239384035,1000000000000.0,0.048849083239384035,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8779554998036474,0.8779554998036474,,0.8779554998036474,0.5088228001259267,0.000439800089225173,,0.0002077994868159294,,,,,,,,0.8779554998036474,0.3662690999917686,,0.5088228001259267,,0.000439800089225173,0.002216000109910965,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.421169136351603,0.416491715231212,0.3079514441437591,220.26773058222554,2.1881804180651576,lassocv_control_union,1.8,0.3544151504852334,,0.10087812120213187,0.19689730582512968,0.05604340066785104,0.3544151504852334,0.10087812120213187,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,2,3154660004538282353,post_selection_ivqr,0.10000000000000009,0.3255102498039183,-0.2255102498039182,0.2255102498039182,0.05085487276662559,ok,False,True,,,-0.633531412308139,0.887223767031325,1.520755179339464,False,True,False,False,False,10,0.24390243902439024,1,False,1.520755179339464,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.01014969135423319,71.73387037820302,0.01014969135423319,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9308821999002248,0.9308821999002248,,0.9308821999002248,0.581302999984473,0.0006395999807864428,,0.00017070001922547817,,,,,,,,0.9308821999002248,0.3466814998537302,,0.581302999984473,,0.0006395999807864428,0.002087400062009692,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.35121354631896107,0.34597082750133645,0.24797419522025566,163.22209404765988,2.160464347661474,lassocv_control_union,1.8,0.28358149807947797,,0.08893172542548149,0.15754527671082108,0.04940651412526749,0.28358149807947797,0.08893172542548149,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,3,1717475357442033914,post_selection_ivqr,-0.050000000000000044,0.3255102498039183,-0.37551024980391834,0.37551024980391834,0.14100794770780115,ok,False,True,,,-0.9733877242284785,0.6170747747313621,1.5904624989598406,False,True,False,False,False,11,0.2682926829268293,1,False,1.5904624989598406,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.0988134050800911,106.18042124244398,0.0988134050800911,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9191032000817358,0.9191032000817358,,0.9191032000817358,0.5739844001363963,0.0006238000933080912,,0.0002614001277834177,,,,,,,,0.9191032000817358,0.34220219985581934,,0.5739844001363963,,0.0006238000933080912,0.002031399868428707,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.36870257293123754,0.363601179581187,0.2690104770960447,182.1642882562053,1.9466669708706592,lassocv_control_union,1.8,0.33104854547282464,,0.09742208959180103,0.1839158585960137,0.05412338310655612,0.33104854547282464,0.09742208959180103,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,4,8676467209849990564,post_selection_ivqr,0.8500000000000001,0.3255102498039183,0.5244897501960818,0.5244897501960818,0.2750894980607483,ok,False,True,,,0.251978107642669,1.4512360449085986,1.1992579372659296,False,True,False,False,False,8,0.1951219512195122,1,False,1.1992579372659296,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.041524324196615885,1000000000000.0,0.041524324196615885,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,1.0265011000446975,1.0265011000446975,,1.0265011000446975,0.6809972000773996,0.0006287000142037868,,0.00017530005425214767,,,,,,,,1.0265011000446975,0.3424937999807298,,0.6809972000773996,,0.0006287000142037868,0.0022060999181121588,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3706139209667231,0.36424361652306647,0.2860443693709593,197.9197479607441,2.1530748095436034,lassocv_control_union,1.8,0.2873965336351447,,0.08698805650299857,0.15966474090841373,0.04832669805722142,0.2873965336351447,0.08698805650299857,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,5,8448470054762995597,post_selection_ivqr,0.25,0.3255102498039183,-0.0755102498039183,0.0755102498039183,0.005701797825450143,ok,False,True,,,-0.37113361564991376,0.8713085318228615,1.2424421474727754,False,True,False,False,False,9,0.21951219512195122,1,False,1.2424421474727754,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.0035698276428879727,58.355195914916656,0.0035698276428879727,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,0.9098757000174373,0.9098757000174373,,0.9098757000174373,0.5549773999955505,0.00045900000259280205,,0.00019400008022785187,,,,,,,,0.9098757000174373,0.3518854998983443,,0.5549773999955505,,0.00045900000259280205,0.0023598000407218933,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.40248359392647703,0.39643585702289885,0.28886643630616865,200.66556666798647,2.3332646510435326,lassocv_control_union,1.8,0.31786419246669884,,0.09065180309909185,0.1765912180370549,0.050362112832828806,0.31786419246669884,0.09065180309909185,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,6,5021447493907674237,post_selection_ivqr,0.8500000000000001,0.3255102498039183,0.5244897501960818,0.5244897501960818,0.2750894980607483,ok,False,True,,,0.08084754337181077,1.385883613238047,0.5550360698678163,False,True,False,False,False,6,0.14634146341463414,3,True,1.3050360698662362,-2.0,4.0,41,0.15,False,False,False,3,0.07317073170731707,0.16654853359424945,1000000000000.0,0.16654853359424945,3.841458820694124,3.841458820694124,1.0,3.841458820694124,8,1.586741300066933,1.586741300066933,,1.586741300066933,1.2500813000369817,0.0005263001658022404,,0.0002058998215943575,,,,,,,,1.586741300066933,0.33496590005233884,,1.2500813000369817,,0.0005263001658022404,0.0009618999902158976,,,,,,,,,8,1,9,0.04,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.41174075214153927,0.4009359904461798,0.2756919310780463,186.50771960791027,2.396855347217392,lassocv_control_union,1.8,0.22796086702128998,,0.08732163064419295,0.12664492612293887,0.048512017024551636,0.22796086702128998,0.08732163064419295,3,False,False,False,,ok; failed_alpha_points=3/41; selected_y=8; selected_d=3; selected_union=8; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,7,21741838260193456,post_selection_ivqr,0.25,0.3255102498039183,-0.0755102498039183,0.0755102498039183,0.005701797825450143,ok,False,True,,,-0.6744097874510209,1.0159312207199493,1.6903410081709702,False,True,False,False,False,12,0.2926829268292683,1,False,1.6903410081709702,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.029340810488217895,69.36798501920904,0.029340810488217895,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8962087000254542,0.8962087000254542,,0.8962087000254542,0.5579683999530971,0.0008102001156657934,,0.0001892999280244112,,,,,,,,0.8962087000254542,0.3350462999660522,,0.5579683999530971,,0.0008102001156657934,0.0021945000626146793,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.37080980996084545,0.36572544478881186,0.2914544094598637,203.6141846181741,2.2363367875828075,lassocv_control_union,1.8,0.2993495788902746,,0.09950387074032677,0.1663053216057081,0.055279928189070425,0.2993495788902746,0.09950387074032677,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,8,4118864315573949973,post_selection_ivqr,-0.20000000000000018,0.3255102498039183,-0.5255102498039185,0.5255102498039185,0.2761610226489768,ok,False,True,,,-1.0065837813105194,0.8993743659517571,1.9059581472622766,False,True,False,False,False,13,0.3170731707317073,1,False,1.9059581472622766,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.015988740908762022,99.17164440203746,0.015988740908762022,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.6660503998864442,0.6660503998864442,,0.6660503998864442,0.3234009000007063,0.0004694000817835331,,0.00013439985923469067,,,,,,,,0.6660503998864442,0.3398485998623073,,0.3234009000007063,,0.0004694000817835331,0.002197100082412362,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3836199344938893,0.3786390854796986,0.28024622355641643,192.7351897281772,1.8554808532302463,lassocv_control_union,1.8,0.3671313769275698,,0.0932586598926509,0.2039618760708721,0.05181036660702828,0.3671313769275698,0.0932586598926509,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,9,4913464245341002973,post_selection_ivqr,0.5499999999999998,0.3255102498039183,0.22448975019608153,0.22448975019608153,0.05039564794309909,ok,False,True,,,-0.5000000000000169,1.0291886804544967,1.5291886804545136,False,True,False,False,False,11,0.2682926829268293,1,False,1.5291886804545136,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.07938762557557154,1000000000000.0,0.07938762557557154,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,0.8646356998942792,0.8646356998942792,,0.8646356998942792,0.4993688000831753,0.00029250001534819603,,0.00013319985009729862,,,,,,,,0.8646356998942792,0.3630703999660909,,0.4993688000831753,,0.00029250001534819603,0.0017707999795675278,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3797564406039735,0.3722078374470239,0.28664174894274735,198.09735433680834,1.7662545083172774,lassocv_control_union,1.8,0.216803653984312,,0.10398571809569286,0.1204464744357289,0.05776984338649603,0.216803653984312,0.10398571809569286,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=5; selected_d=3; selected_union=5; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,10,1453254785829149130,post_selection_ivqr,0.25,0.3255102498039183,-0.0755102498039183,0.0755102498039183,0.005701797825450143,ok,False,True,,,-0.304463696554459,1.0572309672817817,1.3616946638362406,False,True,False,False,False,9,0.21951219512195122,1,False,1.3616946638362406,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.002321237858768099,60.43880543644528,0.002321237858768099,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9139549999963492,0.9139549999963492,,0.9139549999963492,0.5542291000019759,0.0004360999446362257,,0.00014279992319643497,,,,,,,,0.9139549999963492,0.35664390004239976,,0.5542291000019759,,0.0004360999446362257,0.002503100084140897,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4137712125843961,0.4090340102618457,0.3190230184074502,231.89681645682148,1.901393666340741,lassocv_control_union,1.8,0.34577014729171335,,0.10434292429321913,0.19209452627317408,0.05796829127401063,0.34577014729171335,0.10434292429321913,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
