dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,error_type,error_message,failed,converged,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,cr_lower,cr_upper,cr_length,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_empty,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,cr_covers_true,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,1000,500,0.5,0.5,3,1123348,oracle,0.6000000000000001,1.0,-0.3999999999999999,0.3999999999999999,0.15999999999999992,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.12441184053826082,1.4911374138928197,1.6155492544310806,False,False,False,False,8,0.38095238095238093,1,False,1.6155492544310806,True,10,0.3960449170554057,0.3960449170554057,,0.3960449170554057,0.3957952919881791,0.00017837504856288433,,7.12500186637044e-05,,,,,,,,,,,,,,,0.3960449170554057,0.3957952919881791,,0.00017837504856288433,,,,,1,0.047619047619047616,0.011000352436264097,1000000000000.0,0.011000352436264097,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.5,4,1123349,oracle,1.4000000000000004,1.0,0.40000000000000036,0.40000000000000036,0.16000000000000028,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.4166174326422511,1.935102232744247,1.518484800101996,False,False,False,False,7,0.3333333333333333,1,False,1.518484800101996,True,10,0.45757858408614993,0.45757858408614993,,0.45757858408614993,0.4573591250227764,0.00015645904932171106,,6.3000014051795e-05,,,,,,,,,,,,,,,0.45757858408614993,0.4573591250227764,,0.00015645904932171106,,,,,0,0.0,0.005356120276418457,30.34961131447628,0.005356120276418457,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.5,5,1123350,oracle,1.4000000000000004,1.0,0.40000000000000036,0.40000000000000036,0.16000000000000028,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.7670826549859722,2.1648308983358566,1.3977482433498845,False,False,False,False,7,0.3333333333333333,1,False,1.3977482433498845,True,10,0.37907658296171576,0.37907658296171576,,0.37907658296171576,0.3788979999953881,0.0001461249776184559,,3.245798870921135e-05,,,,,,,,,,,,,,,0.37907658296171576,0.3788979999953881,,0.0001461249776184559,,,,,1,0.047619047619047616,0.03158747817490472,1000000000000.0,0.03158747817490472,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.5,6,1123351,oracle,1.0,1.0,0.0,0.0,0.0,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.5372882927031168,1.4410456279944968,0.5037573352922348,False,False,False,False,4,0.19047619047619047,2,True,0.9037573352913799,True,10,0.6274312919704244,0.6274312919704244,,0.6274312919704244,0.6272587500279769,0.00014012493193149567,,3.241701051592827e-05,,,,,,,,,,,,,,,0.6274312919704244,0.6272587500279769,,0.00014012493193149567,,,,,3,0.14285714285714285,0.14897442430087,1000000000000.0,0.14897442430087,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=3/21
dgp1,1000,500,0.5,0.5,7,1123352,oracle,1.2000000000000002,1.0,0.20000000000000018,0.20000000000000018,0.04000000000000007,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.3976862455488237,1.7447569727418477,1.347070727193024,False,False,False,False,7,0.3333333333333333,1,False,1.347070727193024,True,10,0.40909387497231364,0.40909387497231364,,0.40909387497231364,0.40889049996621907,0.00013866694644093513,,6.47080596536398e-05,,,,,,,,,,,,,,,0.40909387497231364,0.40889049996621907,,0.00013866694644093513,,,,,0,0.0,0.06669099810457155,32.24831798433091,0.06669099810457155,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.5,8,1123353,oracle,1.2000000000000002,1.0,0.20000000000000018,0.20000000000000018,0.04000000000000007,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.510162343215763,1.847863762798395,1.3377014195826318,False,False,False,False,7,0.3333333333333333,1,False,1.3377014195826318,True,10,0.25104050000663847,0.25104050000663847,,0.25104050000663847,0.2508775000460446,0.00013429205864667892,,2.87079019472003e-05,,,,,,,,,,,,,,,0.25104050000663847,0.2508775000460446,,0.00013429205864667892,,,,,0,0.0,0.04354825072483603,32.4262585805339,0.04354825072483603,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.5,9,1123354,oracle,0.40000000000000013,1.0,-0.5999999999999999,0.5999999999999999,0.3599999999999998,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.5639413032932374,1.3939215653105048,1.9578628686037423,False,False,False,False,9,0.42857142857142855,1,False,1.9578628686037423,True,10,0.24291045893914998,0.24291045893914998,,0.24291045893914998,0.24275737500283867,0.00012458302080631256,,2.8500915504992008e-05,,,,,,,,,,,,,,,0.24291045893914998,0.24275737500283867,,0.00012458302080631256,,,,,0,0.0,0.186380703510468,25.267363403338265,0.186380703510468,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.75,0,1124345,oracle,1.6,1.6744897501960816,-0.0744897501960815,0.0744897501960815,0.005548722884274625,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.8896069738054437,2.2046212142068438,1.3150142404014,False,False,False,False,7,0.3333333333333333,1,False,1.3150142404014,True,10,0.4182682909304276,0.4182682909304276,,0.4182682909304276,0.41805324994493276,0.00017391599249094725,,4.112499300390482e-05,,,,,,,,,,,,,,,0.4182682909304276,0.41805324994493276,,0.00017391599249094725,,,,,1,0.047619047619047616,0.006880165018163441,1000000000000.0,0.006880165018163441,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.75,1,1124346,oracle,1.6,1.6744897501960816,-0.0744897501960815,0.0744897501960815,0.005548722884274625,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,1.304044105200348,2.13748268165633,0.833438576455982,False,False,False,False,4,0.19047619047619047,1,False,0.833438576455982,True,10,0.3039936249842867,0.3039936249842867,,0.3039936249842867,0.3037921669892967,0.00016433303244411945,,3.712496254593134e-05,,,,,,,,,,,,,,,0.3039936249842867,0.3037921669892967,,0.00016433303244411945,,,,,1,0.047619047619047616,0.14712015564925202,1000000000000.0,0.14712015564925202,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.75,2,1124347,oracle,1.8000000000000003,1.6744897501960816,0.12551024980391867,0.12551024980391867,0.015752822805842066,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,1.085721656563955,2.368339678782184,1.282618022218229,False,False,False,False,6,0.2857142857142857,1,False,1.282618022218229,True,10,0.25776066700927913,0.25776066700927913,,0.25776066700927913,0.2575293749105185,0.00016733398661017418,,6.395811215043068e-05,,,,,,,,,,,,,,,0.25776066700927913,0.2575293749105185,,0.00016733398661017418,,,,,0,0.0,0.03283860806239532,37.30122914301558,0.03283860806239532,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.75,3,1124348,oracle,1.6,1.6744897501960816,-0.0744897501960815,0.0744897501960815,0.005548722884274625,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.9349005408749642,2.431210432105668,1.4963098912307036,False,False,False,False,8,0.38095238095238093,1,False,1.4963098912307036,True,10,0.5175023749470711,0.5175023749470711,,0.5175023749470711,0.5172604999970645,0.0001681250287219882,,7.3749921284616e-05,,,,,,,,,,,,,,,0.5175023749470711,0.5172604999970645,,0.0001681250287219882,,,,,0,0.0,0.0006093830708519674,26.819059871688623,0.0006093830708519674,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.75,4,1124349,oracle,1.4000000000000004,1.6744897501960816,-0.27448975019608124,0.27448975019608124,0.07534462296270708,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.7528544064543934,1.8000000000005982,1.0471455935462048,False,False,False,False,6,0.2857142857142857,1,False,1.0471455935462048,True,10,0.9263581249397248,0.9263581249397248,,0.9263581249397248,0.9261787920258939,0.00014404195826500654,,3.529095556586981e-05,,,,,,,,,,,,,,,0.9263581249397248,0.9261787920258939,,0.00014404195826500654,,,,,1,0.047619047619047616,0.005758072531914883,1000000000000.0,0.005758072531914883,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.75,5,1124350,oracle,2.2,1.6744897501960816,0.5255102498039186,0.5255102498039186,0.2761610226489769,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,1.3580504430407363,2.6933022418467005,1.3352517988059642,False,False,False,False,7,0.3333333333333333,1,False,1.3352517988059642,True,10,0.3355520840268582,0.3355520840268582,,0.3355520840268582,0.33537883299868554,0.00013987498823553324,,3.337603993713856e-05,,,,,,,,,,,,,,,0.3355520840268582,0.33537883299868554,,0.00013987498823553324,,,,,0,0.0,0.04642921580513267,31.605981236154904,0.04642921580513267,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp1,1000,500,0.5,0.75,6,1124351,oracle,2.8000000000000003,1.6744897501960816,1.1255102498039187,1.1255102498039187,1.2667733224136795,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,1.9754495913602113,3.0,1.0245504086397887,False,True,True,False,6,0.2857142857142857,1,False,1.0245504086397887,False,10,0.3756032499950379,0.3756032499950379,,0.3756032499950379,0.3754247500328347,0.00014462496619671583,,3.38749960064888e-05,,,,,,,,,,,,,,,0.3756032499950379,0.3754247500328347,,0.00014462496619671583,,,,,1,0.047619047619047616,0.001826239462152109,1000000000000.0,0.001826239462152109,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
dgp1,1000,500,0.5,0.75,7,1124352,oracle,0.20000000000000018,1.6744897501960816,-1.4744897501960814,1.4744897501960814,2.1741200234333027,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.712310898871502,1.400000000000149,2.112310898871651,False,False,False,False,11,0.5238095238095238,1,False,2.112310898871651,False,10,0.36054937494918704,0.36054937494918704,,0.36054937494918704,0.3603433750104159,0.00014645804185420275,,5.954189691692591e-05,,,,,,,,,,,,,,,0.36054937494918704,0.3603433750104159,,0.00014645804185420275,,,,,1,0.047619047619047616,0.027299744672530084,1000000000000.0,0.027299744672530084,3.8414588206941205,,,,,,,,,,False,False,False,False,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=1/21
