dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,post_selection_ivqr,0.1,0.3255102498039183,-0.2255102498039183,0.2255102498039183,0.050854872766625626,ok,False,True,,,0.0,0.8282443198278399,0.8282443198278399,False,True,True,False,True,9,0.42857142857142855,1,False,0.8282443198278399,0.0,2.0,21,0.1,False,False,False,1,0.047619047619047616,0.0018589762217735692,1000000000000.0,0.0018589762217735692,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8684045998379588,0.8684045998379588,,0.8684045998379588,0.4620738998055458,0.0006861998699605465,,0.0003152000717818737,,,,,,,,0.8684045998379588,0.4028861001133919,,0.4620738998055458,,0.0006861998699605465,0.0024431999772787094,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45211258129487053,0.44768520821442503,0.34385349874526827,259.4046932406475,2.228827407493596,lassocv_control_union,1.8,0.3188822274794069,,0.08054398734966628,0.17715679304411494,0.04474665963870349,0.3188822274794069,0.08054398734966628,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=3; selected_d=3; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,1,9214940379343621333,post_selection_ivqr,0.2,0.3255102498039183,-0.12551024980391828,0.12551024980391828,0.01575282280584197,ok,False,True,,,0.0,0.8258593793498449,0.8258593793498449,False,True,True,False,True,9,0.42857142857142855,1,False,0.8258593793498449,0.0,2.0,21,0.1,False,False,False,0,0.0,0.000267926466404162,17.053868232566227,0.000267926466404162,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8732537000905722,0.8732537000905722,,0.8732537000905722,0.4409908999223262,0.0007075001485645771,,0.00020209979265928268,,,,,,,,0.8732537000905722,0.4287450001575053,,0.4409908999223262,,0.0007075001485645771,0.002608200069516897,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.421169136351603,0.416491715231212,0.3079514441437591,220.26773058222554,2.1881804180651576,lassocv_control_union,1.8,0.3544151504852334,,0.10087812120213187,0.19689730582512968,0.05604340066785104,0.3544151504852334,0.10087812120213187,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,2,3154660004538282353,post_selection_ivqr,0.1,0.3255102498039183,-0.2255102498039183,0.2255102498039183,0.050854872766625626,ok,False,True,,,0.0,0.8933420059241067,0.8933420059241067,False,True,True,False,True,9,0.42857142857142855,1,False,0.8933420059241067,0.0,2.0,21,0.1,False,False,False,0,0.0,0.010149690753989271,22.11983855534579,0.010149690753989271,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9751772000454366,0.9751772000454366,,0.9751772000454366,0.568201299989596,0.0010118000209331512,,0.0003341999836266041,,,,,,,,0.9751772000454366,0.4033627000171691,,0.568201299989596,,0.0010118000209331512,0.002267200034111738,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.35121354631896107,0.34597082750133645,0.24797419522025566,163.22209404765988,2.160464347661474,lassocv_control_union,1.8,0.28358149807947797,,0.08893172542548149,0.15754527671082108,0.04940651412526749,0.28358149807947797,0.08893172542548149,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,3,1717475357442033914,post_selection_ivqr,0.0,0.3255102498039183,-0.3255102498039183,0.3255102498039183,0.1059569227274093,ok,False,True,,,0.0,0.6203807474234564,0.4203807474239337,False,False,True,False,True,6,0.2857142857142857,2,True,0.6203807474234564,0.0,2.0,21,0.1,True,False,True,1,0.047619047619047616,0.08221807525939723,1000000000000.0,0.08221807525939723,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.9273190998937935,0.9273190998937935,,0.9273190998937935,0.5267072001006454,0.0004409998655319214,,0.00030379975214600563,,,,,,,,0.9273190998937935,0.3970957000274211,,0.5267072001006454,,0.0004409998655319214,0.002771400148048997,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.36870257293123754,0.363601179581187,0.2690104770960447,182.1642882562053,1.9466669708706592,lassocv_control_union,1.8,0.33104854547282464,,0.09742208959180103,0.1839158585960137,0.05412338310655612,0.33104854547282464,0.09742208959180103,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,4,8676467209849990564,post_selection_ivqr,0.9,0.3255102498039183,0.5744897501960817,0.5744897501960817,0.3300384730803564,ok,False,True,,,0.21505164085720238,1.4407273753145888,1.2256757344573865,False,True,False,False,False,12,0.5714285714285714,1,False,1.2256757344573865,0.0,2.0,21,0.1,False,False,False,0,0.0,0.06200617592138915,16.61553865998274,0.06200617592138915,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,0.873697399860248,0.873697399860248,,0.873697399860248,0.47433430003002286,0.0006591000128537416,,0.00026089977473020554,,,,,,,,0.873697399860248,0.39574920013546944,,0.47433430003002286,,0.0006591000128537416,0.0026938999071717262,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3706139209667231,0.36424361652306647,0.2860443693709593,197.9197479607441,2.1530748095436034,lassocv_control_union,1.8,0.2873965336351447,,0.08698805650299857,0.15966474090841373,0.04832669805722142,0.2873965336351447,0.08698805650299857,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,5,8448470054762995597,post_selection_ivqr,0.2,0.3255102498039183,-0.12551024980391828,0.12551024980391828,0.01575282280584197,ok,False,True,,,0.0,0.892867660541222,0.892867660541222,False,True,True,False,True,9,0.42857142857142855,1,False,0.892867660541222,0.0,2.0,21,0.1,False,False,False,0,0.0,0.019935710697193052,25.351989873964715,0.019935710697193052,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,0.9906589998863637,0.9906589998863637,,0.9906589998863637,0.5934363000560552,0.0008094999939203262,,0.000287399860098958,,,,,,,,0.9906589998863637,0.39341520005837083,,0.5934363000560552,,0.0008094999939203262,0.0027105999179184437,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.40248359392647703,0.39643585702289885,0.28886643630616865,200.66556666798647,2.3332646510435326,lassocv_control_union,1.8,0.31786419246669884,,0.09065180309909185,0.1765912180370549,0.050362112832828806,0.31786419246669884,0.09065180309909185,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=4; selected_d=2; selected_union=4; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,6,5021447493907674237,post_selection_ivqr,0.8,0.3255102498039183,0.47448975019608175,0.47448975019608175,0.22514052304114007,ok,False,True,,,0.0,1.409485183831167,1.2094851838319158,False,True,True,False,True,14,0.6666666666666666,2,True,1.409485183831167,0.0,2.0,21,0.1,False,False,False,1,0.047619047619047616,0.02220738649982501,1000000000000.0,0.02220738649982501,3.841458820694124,3.841458820694124,1.0,3.841458820694124,8,1.4508270998485386,1.4508270998485386,,1.4508270998485386,1.0836956000421196,0.0011891999747604132,,0.00028419983573257923,,,,,,,,1.4508270998485386,0.36421109992079437,,1.0836956000421196,,0.0011891999747604132,0.0014470000751316547,,,,,,,,,8,1,9,0.04,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.41174075214153927,0.4009359904461798,0.2756919310780463,186.50771960791027,2.396855347217392,lassocv_control_union,1.8,0.22796086702128998,,0.08732163064419295,0.12664492612293887,0.048512017024551636,0.22796086702128998,0.08732163064419295,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=8; selected_d=3; selected_union=8; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,7,21741838260193456,post_selection_ivqr,0.2,0.3255102498039183,-0.12551024980391828,0.12551024980391828,0.01575282280584197,ok,False,True,,,0.0,1.0135382264075512,1.0135382264075512,False,True,True,False,True,11,0.5238095238095238,1,False,1.0135382264075512,0.0,2.0,21,0.1,False,False,False,0,0.0,0.004015459942910206,17.66428017531712,0.004015459942910206,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7668969000224024,0.7668969000224024,,0.7668969000224024,0.3855560999363661,0.0004157999064773321,,0.00023140013217926025,,,,,,,,0.7668969000224024,0.3779357001185417,,0.3855560999363661,,0.0004157999064773321,0.0027578999288380146,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.37080980996084545,0.36572544478881186,0.2914544094598637,203.6141846181741,2.2363367875828075,lassocv_control_union,1.8,0.2993495788902746,,0.09950387074032677,0.1663053216057081,0.055279928189070425,0.2993495788902746,0.09950387074032677,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,8,4118864315573949973,post_selection_ivqr,0.1,0.3255102498039183,-0.2255102498039183,0.2255102498039183,0.050854872766625626,ok,False,True,,,0.0,0.884060040521653,0.884060040521653,False,True,True,False,True,9,0.42857142857142855,1,False,0.884060040521653,0.0,2.0,21,0.1,False,False,False,0,0.0,0.03219049847096935,27.863851157670933,0.03219049847096935,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.7744280998595059,0.7744280998595059,,0.7744280998595059,0.3825765000656247,0.0008104001171886921,,0.0003199998755007982,,,,,,,,0.7744280998595059,0.3882710998877883,,0.3825765000656247,,0.0008104001171886921,0.002450099913403392,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3836199344938893,0.3786390854796986,0.28024622355641643,192.7351897281772,1.8554808532302463,lassocv_control_union,1.8,0.3671313769275698,,0.0932586598926509,0.2039618760708721,0.05181036660702828,0.3671313769275698,0.0932586598926509,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=1; selected_union=3; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,9,4913464245341002973,post_selection_ivqr,0.4,0.3255102498039183,0.07448975019608173,0.07448975019608173,0.005548722884274658,ok,False,True,,,0.0,1.1268640139652186,0.9268640139659569,False,True,True,False,True,11,0.5238095238095238,2,True,1.1268640139652186,0.0,2.0,21,0.1,False,False,False,2,0.09523809523809523,0.10554671085426676,1000000000000.0,0.10554671085426676,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,1.1669481000863016,1.1669481000863016,,1.1669481000863016,0.7600334000308067,0.0012358000967651606,,0.0002615998964756727,,,,,,,,1.1669481000863016,0.40093540004454553,,0.7600334000308067,,0.0012358000967651606,0.00448190001770854,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3797564406039735,0.3722078374470239,0.28664174894274735,198.09735433680834,1.7662545083172774,lassocv_control_union,1.8,0.216803653984312,,0.10398571809569286,0.1204464744357289,0.05776984338649603,0.216803653984312,0.10398571809569286,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=5; selected_d=3; selected_union=5; selection_lasso_multiplier=1.8
dgp1,500,200,1.0,0.25,10,1453254785829149130,post_selection_ivqr,0.30000000000000004,0.3255102498039183,-0.02551024980391825,0.02551024980391825,0.0006507728450583111,ok,False,True,,,0.0,1.0462024709347046,1.0462024709347046,False,True,True,False,True,11,0.5238095238095238,1,False,1.0462024709347046,0.0,2.0,21,0.1,False,False,False,0,0.0,0.02190612881292016,22.60933648607718,0.02190612881292016,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,0.8163327998481691,0.8163327998481691,,0.8163327998481691,0.42323950002901256,0.0008080999832600355,,0.000197199871763587,,,,,,,,0.8163327998481691,0.3895747000351548,,0.42323950002901256,,0.0008080999832600355,0.0025132999289780855,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4137712125843961,0.4090340102618457,0.3190230184074502,231.89681645682148,1.901393666340741,lassocv_control_union,1.8,0.34577014729171335,,0.10434292429321913,0.19209452627317408,0.05796829127401063,0.34577014729171335,0.10434292429321913,3,False,False,False,,ok; failed_alpha_points=0/21; selected_y=3; selected_d=2; selected_union=3; selection_lasso_multiplier=1.8
